Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
Atılım Üniversitesi,Diğer Tüm Fakülteler (%50 Burslu) - 55.000 TL,55.000 TL,2022
Atılım Üniversitesi,M.Y.O (%50 Burslu) - 45.000 TL,45.000 TL,2022
Bahçeşehir Üniversitesi,"İktisadi, İdari ve Sosyal Bilimler Fakültesi - 129.920 TL",129.920 TL,2022
Bahçeşehir Üniversitesi,İletişim Fakültesi - 123.845 TL,123.845 TL,2022
Bahçeşehir Üniversitesi,Mühendislik ve Doğa Bilimleri Fakültesi - 130.975 TL,130.975 TL,2022
Bahçeşehir Üniversitesi,Hukuk Fakültesi - 132.750 TL,132.750 TL,2022
Bahçeşehir Üniversitesi,Mimarlık ve Tasarım Fakültesi - 130.975 TL,130.975 TL,2022
Bahçeşehir Üniversitesi,Eğitim Bilimleri Fakültesi - 117.750 TL,117.750 TL,2022
Bahçeşehir Üniversitesi,Sağlık Bilimleri Fakültesi - 125.600 TL,125.600 TL,2022
Bahçeşehir Üniversitesi,Tıp Fakültesi ( %50 Burslu) - 102. 592 TL,592 TL,2022
Bahçeşehir Üniversitesi,Diş Hekimliği Fakültesi - 187.500 TL,187.500 TL,2022
Bahçeşehir Üniversitesi,Konservatuar  - 128.250 TL,128.250 TL,2022
Bahçeşehir Üniversitesi,Sağlık Hizmetleri MYO (%50 Burslu) - 36.400 TL,36.400 TL,2022
Bahçeşehir Üniversitesi,Uygulamalı Bilimler Yüksekokulu - 119.850 TL,119.850 TL,2022
Bahçeşehir Üniversitesi,Yabancı Diller ( Lisans İngilizce Hazırlık) - 117. 750 TL,750 TL,2022
Bahçeşehir Üniversitesi,Yabancı Diller ( Ön Lisans İngilizce Hazırlık %50 Burslu) - 36.400 TL,36.400 TL,2022
Başkent Üniversitesi,Tıp Fakültesi - 120.000 TL,120.000 TL,2022
Başkent Üniversitesi,Diş Hekimliği Fakültesi - 120.000 TL,120.000 TL,2022
Başkent Üniversitesi,Eczacılık Fakültesi - 103.000 TL,103.000 TL,2022
Başkent Üniversitesi,Mühendislik Fakültesi - 84.000 TL,84.000 TL,2022
Başkent Üniversitesi,Hukuk Fakültesi - 84.000 TL,84.000 TL,2022
Başkent Üniversitesi,Mimarlık Fakültesi - 84.000 TL,84.000 TL,2022
Başkent Üniversitesi,Devlet Konservatuarı - 70.000 TL,70.000 TL,2022
Başkent Üniversitesi,Eğitim Fakültesi - 78.000 TL,78.000 TL,2022
Başkent Üniversitesi,Fen Edebiyat Fakültesi - 78.000 TL,78.000 TL,2022
Başkent Üniversitesi,İktisadi ve İdari Bilimler Fakültesi - 78.000 TL,78.000 TL,2022
Başkent Üniversitesi,İletişim Fakültesi - 78.000 TL,78.000 TL,2022
Başkent Üniversitesi,Sağlık Bilimleri Fakültesi - 78.000 TL,78.000 TL,2022
Başkent Üniversitesi,Ticari Bilimler Fakültesi - 60.000 TL,60.000 TL,2022
Başkent Üniversitesi,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi - 78.000 TL,78.000 TL,2022
Başkent Üniversitesi,İngilizce Hazırlık Programı - 65.000 TL,65.000 TL,2022
Başkent Üniversitesi,Ön Lisans Programları - 45.000 TL,45.000 TL,2022
Beykoz Üniversitesi,İşletme ve Yönetim Bilimleri Fakültesi (%50 İndirimli) - 34.560 TL,34.560 TL,2022
Beykoz Üniversitesi,Bilgisayar ve Yazılım Mühendisliği ( %50 İndirimli) - 45.900 TL,45.900 TL,2022
Beykoz Üniversitesi,Endüstri Mühendisliği ( %50 İndirimli) - 34.560 TL,34.560 TL,2022
Beykoz Üniversitesi,Mimarlık ( %50 İndirimli) - 43.200 TL,43.200 TL,2022
Beykoz Üniversitesi,Psikoloji (%50 İndirimli) - 69.120 TL,69.120 TL,2022
Beykoz Üniversitesi,Gastronomi ve Mutfak Sanatları ( %50 İndirimli) - 55.080 TL,55.080 TL,2022
Beykoz Üniversitesi,Çizgi Film ve Animasyon ( %50 İndirimli) - 43.200 TL,43.200 TL,2022
Beykoz Üniversitesi,Dijital Oyun Tasarımı (%50 İndirimli) - 43.200 TL,43.200 TL,2022
Beykoz Üniversitesi,"Radyo, Televizyon ve Sinema (%50 İndirimli) - 38.800 TL",38.800 TL,2022
Beykoz Üniversitesi,Siyaset Bilimi ve Uluslararası İlişkiler (%50 İndirimli) - 30.240 TL,30.240 TL,2022
Beykoz Üniversitesi,İç Mimarlık ve Çevre Tasarımı (%50 İndirimli) - 51.840 TL,51.840 TL,2022
Bezm- i Alem Üniversitesi,Tıp Fakültesi - 180.000 TL,180.000 TL,2022
Bezm- i Alem Üniversitesi,Tıp Fakültesi ( %50 İndirimli) - 90.000 TL,90.000 TL,2022
Bezm- i Alem Üniversitesi,Hazırlık - 93.800 TL,93.800 TL,2022
Bezm- i Alem Üniversitesi,Sağlık Yönetimi Bölümü - 50.400 TL,50.400 TL,2022
Bezm- i Alem Üniversitesi,Ergoterapi Bölümü - 66.000 TL,66.000 TL,2022
Bezm- i Alem Üniversitesi,Diş Hekimliği Fakültesi - 175.000 TL,175.000 TL,2022
Bezm- i Alem Üniversitesi,Eczacılık Fakültesi - 130.000 TL,130.000 TL,2022
Bezm- i Alem Üniversitesi,Beslenme ve Diyetetik - 75.000 TL,75.000 TL,2022
Bezm- i Alem Üniversitesi,Fizyoterapi ve Rehabilitasyon - 75.000 TL,75.000 TL,2022
Bezm- i Alem Üniversitesi,Hemşirelik - 62.500 TL,62.500 TL,2022
Bezm- i Alem Üniversitesi,Odyoloji - 72.000 TL,72.000 TL,2022
Bilgi Üniversitesi,Hukuk Fakültesi - 139.000 TL,139.000 TL,2022
Bilgi Üniversitesi,İletişim Fakültesi - 110.000 TL,110.000 TL,2022
Bilgi Üniversitesi,İşletme Fakültesi - 110.00 TL,110.00 TL,2022
Bilgi Üniversitesi,Endüstriyel Tasarım ( %50 Burslu) - 55.000 TL,55.000 TL,2022
Bilgi Üniversitesi,İç Mimarlık (%50 Burslu) - 55.000 TL,55.000 TL,2022
Bilgi Üniversitesi,Mühendislik ve Doğa Bilimleri Fakültesi - 119.000 TL,119.000 TL,2022
Bilgi Üniversitesi,Sağlık Bilimleri Fakültesi - 98.000 TL,98.000 TL,2022
Bilgi Üniversitesi,Sosyal ve Beşeri Bilimler Fakültesi (%50 Burslu) - 55.000 TL,55.000 TL,2022
Bilgi Üniversitesi,Psikoloji - 125.000 TL,125.000 TL,2022
Bilgi Üniversitesi,Sivil Havacılık Yüksekokulu (%50 Burslu) - 42.500 TL,42.500 TL,2022
Bilgi Üniversitesi,Spor Bilimleri ve Teknolojisi Yüksekokulu (%50 Burslu) - 42.500 TL,42.500 TL,2022
Bilgi Üniversitesi,Gastronomi ve Mutfak Sanatları - 89.500 TL,89.500 TL,2022
Bilgi Üniversitesi,Turizm İşletmeciliği (%50 Burslu),,2022
Bilgi Üniversitesi,Uygulamalı Bilimler Yüksekokulu (%50 Burslu) - 42.500 TL,42.500 TL,2022
Bilgi Üniversitesi,Adalet Meslek Yüksekokulu (%50 Burslu) - 39.450 TL,39.450 TL,2022
Bilgi Üniversitesi,"Dış Ticaret, Halkla İlişkiler ve Tanıtım (%50 Burslu) - 39.450 TL",39.450 TL,2022
Bilgi Üniversitesi,Bilgisayar Programcılığı ve Bilişim Güvenliği (%50 Burslu) - 24.450 TL,24.450 TL,2022
Bilgi Üniversitesi,E- Ticaret ve Pazarlama (%50 Burslu) - 24.450 TL,24.450 TL,2022
Bilgi Üniversitesi,Sivil Havacılık Kabin Hazırlama (%50 Burslu) - 24.450 TL,24.450 TL,2022
Bilgi Üniversitesi,"Anestezi, İlk ve Acil Yardım ( %50 Burslu) - 39.450 TL",39.450 TL,2022
Bilgi Üniversitesi,Fizyoterapi (%50 Burslu) - 39.450 TL,39.450 TL,2022
Bilgi Üniversitesi,"Odyometri, Optisyenlik - 22.450 TL",22.450 TL,2022
Bilgi Üniversitesi,Patoloji ve Laboratuvar Teknikleri - 24.450 TL,24.450 TL,2022
Bilkent Üniversitesi,,,2022
Çağ Üniversitesi,Fakültelerin Tüm Lisans Bölümleri - 52.750 TL,52.750 TL,2022
Çağ Üniversitesi,Meslek Yüksekokulundaki Tüm Bölümler -26.375 TL,26.375 TL,2022
Fatih Sultan Mehmet Vakıf Üniversitesi,Türk Dili ve Edebiyatı (%50 Burslu) - 35.000 TL,35.000 TL,2022
