universityName,Bölüm/Fakülte,Ücret,burs_oranı,Akademik yıl
İBN HALDUN ÜNİVERSİTESİ,Lisans Programları,52500.0,0,2019
İZMİR EKONOMİ ÜNİVERSİTESİ,Tıp Fakültesi,60300.0,0,2019
İZMİR EKONOMİ ÜNİVERSİTESİ,Diğer Lisans Programları,44400.0,0,2019
İZMİR EKONOMİ ÜNİVERSİTESİ,Ön Lisans Programları,18100.0,0,2019
İZMİR EKONOMİ ÜNİVERSİTESİ,Hazırlık Sınıfı,43100.0,0,2019
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Lisans Programları,50125.0,0,2019
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Ön Lisans Programları,26500.0,0,2019
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hazırlık Sınıfı,48000.0,0,2019
İSTANBUL AYDIN ÜNİVERSİTESİ,Tıp Fakültesi ve Diş Hekimliği,75900.0,0,2019
İSTANBUL AYDIN ÜNİVERSİTESİ,Lisans Programları,46500.0,0,2019
İSTANBUL AYDIN ÜNİVERSİTESİ,Yüksekokul Ücretleri,25875.0,0,2019
İSTANBUL AYDIN ÜNİVERSİTESİ,Hazırlık Sınıfı,34500.0,0,2019
İSTANBUL BİLGİ ÜNİVERSİTESİ,Lisans Programları,27792.25,0,2019
İSTANBUL BİLGİ ÜNİVERSİTESİ,Ön Lisans Programları,21306.75,0,2019
İSTANBUL BİLGİ ÜNİVERSİTESİ,Hazırlık Sınıfı,28430.5,0,2019
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Lisans Programları,38000.0,0,2019
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Yabancı Dil Hazırlık Sınıfları,35000.0,0,2019
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,Tıp Fakültesi,53280.0,0,2019
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,Diş Hekimliği,53280.0,0,2019
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,Diğer Lisans Programları,36390.0,0,2019
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,Ön Lisans Programları,22620.0,0,2019
İSTANBUL RUMELİ ÜNİVERSİTESİ,Lisans Programları,42000.0,0,2019
İSTANBUL RUMELİ ÜNİVERSİTESİ,Sağlık Meslek Yüksekokulu Programları,36000.0,0,2019
İSTANBUL RUMELİ ÜNİVERSİTESİ,Ön Lisans Programları,25000.0,0,2019
İSTANBUL RUMELİ ÜNİVERSİTESİ,Hazırlık Sınıfı,16000.0,0,2019
İSTANBUL GEDİK ÜNİVERSİTESİ,Lisans Programları,42450.0,0,2019
İSTANBUL GEDİK ÜNİVERSİTESİ,Ön Lisans Programları,25000.0,0,2019
İSTANBUL GEDİK ÜNİVERSİTESİ,Hazırlık Sınıfı,32800.0,0,2019
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Lisans Programları,27750.0,0,2019
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Hazırlık Sınıfı,25500.0,0,2019
İSTANBUL ŞEHİR ÜNİVERSİTESİ,Lisans Programları,46200.0,0,2019
İSTANBUL ŞEHİR ÜNİVERSİTESİ,Ön Lisans Programları,23900.0,0,2019
İSTANBUL ŞEHİR ÜNİVERSİTESİ,Hazırlık Sınıfı,43500.0,0,2019
İSTANBUL MEDİPOL ÜNİVERSİTESİ,Uluslararası Tıp Fakültesi,84000.0,0,2019
İSTANBUL MEDİPOL ÜNİVERSİTESİ,Tıp Fakültesi,76000.0,0,2019
İSTANBUL MEDİPOL ÜNİVERSİTESİ,Diş Hekimliği,76000.0,0,2019
İSTANBUL MEDİPOL ÜNİVERSİTESİ,Hazırlık Sınıfı,50000.0,0,2019
İSTANBUL MEDİPOL ÜNİVERSİTESİ,Lisans Programları,48250.0,0,2019
İSTANBUL MEDİPOL ÜNİVERSİTESİ,Ön Lisans Programları,24250.0,0,2019
İSTANBUL OKAN ÜNİVERSİTESİ,Tıp Fakültesi,85278.0,0,2019
İSTANBUL OKAN ÜNİVERSİTESİ,Diş Hekimliği,80398.0,0,2019
İSTANBUL OKAN ÜNİVERSİTESİ,Lisans Programları,51156.0,0,2019
İSTANBUL OKAN ÜNİVERSİTESİ,Ön Lisans Programları,28365.0,0,2019
İSTANBUL OKAN ÜNİVERSİTESİ,Pilotaj,34499.0,0,2019
İSTANBUL GELİŞİM ÜNİVERSİTESİ,Lisans Programları,38000.0,0,2019
İSTANBUL GELİŞİM ÜNİVERSİTESİ,Ön Lisans Programları,22000.0,0,2019
İSTANBUL ESENYURT ÜNİVERSİTESİ,Lisans Programları,33370.0,0,2019
İSTANBUL ESENYURT ÜNİVERSİTESİ,Yüksekokul Ücretleri,24050.0,0,2019
İSTANBUL TİCARET ÜNİVERSİTESİ,Lisans Programları,43150.0,0,2019
İSTANBUL AREL ÜNİVERSİTESİ,Lisans Programları,41400.0,0,2019
İSTANBUL AREL ÜNİVERSİTESİ,Ön Lisans Programları,23900.0,0,2019
İSTANBUL KENT ÜNİVERSİTESİ,Diş Hekimliği,80000.0,0,2019
İSTANBUL KENT ÜNİVERSİTESİ,Diğer Lisans Programları,44518.0,0,2019
İSTANBUL KENT ÜNİVERSİTESİ,Ön Lisans Programları,27124.0,0,2019
