akademik_yil,bolum_fakulte,burs_orani,ucret,universite
2021,Siyaset Bilimi ve Kamu Yönetimi,Ücretli,25.000,Avrasya Üni.
2021,İşletme,Ücretli,25.000,Avrasya Üni.
2021,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Ücretli,81.200,Bahçeşehir Üni.
2021,İletişim Fakültesi,Ücretli,79.900,Bahçeşehir Üni.
2021,Mühendislik ve Doğa Bilimleri Fakültesi,Ücretli,84.500,Bahçeşehir Üni.
2021,Hukuk Fakültesi,Ücretli,88.500,Bahçeşehir Üni.
2021,Mimarlık ve Tasarım Fakültesi,Ücretli,84.500,Bahçeşehir Üni.
2021,Eğitim Bilimleri Fakültesi,Ücretli,78.500,Bahçeşehir Üni.
2021,Sağlık Bilimleri Fakültesi,Ücretli,78.500,Bahçeşehir Üni.
2021,Tıp Fakültesi,Ücretli,136.500,Bahçeşehir Üni.
2021,Diş Hekimliği Fakültesi,Ücretli,125.000,Bahçeşehir Üni.
2021,Konservatuar,Ücretli,85.500,Bahçeşehir Üni.
2021,Sağlık Hizmetleri Meslek Yüksekokulu,Ücretli,45.500,Bahçeşehir Üni.
2021,Uygulamalı Bilimler Yüksekokulu,Ücretli,79.900,Bahçeşehir Üni.
2021,Yabancı Diller Yüksekokulu (Lisans İngilizce hazırlık programı için),Ücretli,78.500,Bahçeşehir Üni.
2021,Yabancı Diller Yüksekokulu (Ön lisans İngilizce hazırlık programı için),Ücretli,45.500,Bahçeşehir Üni.
2021,Tıp Fakültesi,Ücretli,85.100,Başkent Üni.
2021,Diş Hekimliği Fakültesi,Ücretli,85.100,Başkent Üni.
2021,Eczacılık Fakültesi,Ücretli,73.600,Başkent Üni.
2021,Mühendislik Fakültesi,Ücretli,59.800,Başkent Üni.
2021,Hukuk Fakültesi,Ücretli,59.800,Başkent Üni.
2021,Mimarlık Bölümü,Ücretli,59.800,Başkent Üni.
2021,Devlet Konservatuvarı,Ücretli,50.600,Başkent Üni.
2021,Eğitim Fakültesi,Ücretli,55.200,Başkent Üni.
2021,Fen Edebiyat Fakültesi,Ücretli,55.200,Başkent Üni.
2021,İktisadi ve İdari Bilimler Fakültesi,Ücretli,55.200,Başkent Üni.
2021,İletişim Fakültesi,Ücretli,55.200,Başkent Üni.
2021,Sağlık Bilimleri Fakültesi,Ücretli,55.200,Başkent Üni.
2021,Ticari Bilimler Fakültesi,Ücretli,55.200,Başkent Üni.
2021,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,Ücretli,55.200,Başkent Üni.
2021,İngilizce Hazırlık Programı,Ücretli,46.000,Başkent Üni.
2021,Önlisans Programları,Ücretli,32.200,Başkent Üni.
2021,Diş Hekimliği Fakültesi,Ücretli,104.102,Beykent Üni.
2021,Diş Hekimliği Fakültesi,%25 İndirimli,78.077,Beykent Üni.
