academicYear,idOSYM,baseScore,topScore
2022,105610264,"416,15277","464,47497"
2023,104810256,"418,55423","469,26270"
2022,104810256,"398,87243","438,13341"
2023,101190429,"429,49299","493,76681"
2022,101190429,"423,05419","487,94968"
2023,107210235,"423,82667","461,62547"
2022,107210235,"404,31920","462,75471"
2023,102590279,"418,65319","450,50792"
2022,102590279,"411,87377","436,33619"
2023,102710051,"419,73359","478,74379"
2022,102710051,"409,91775","453,78584"
2023,105490062,"420,46596","461,97318"
2022,105490062,"412,68625","438,78654"
2023,101110272,"416,87790","475,35487"
2022,101110272,"399,65820","436,05705"
2023,108890289,"416,09625","462,83408"
2022,108890289,"402,32641","446,72440"
2023,103310528,"410,17351","438,50928"
2022,103310528,"407,48721","481,58605"
2023,108010288,"408,01915","458,76111"
2022,108010288,"405,31149","466,09587"
2023,112110998,"412,98984","463,04436"
2022,112110998,"408,77349","458,40845"
2023,101110015,"417,29874","456,84582"
2022,101110015,"396,45247","486,45379"
2023,107210086,"418,36607","475,06371"
2022,107210086,"411,15693","431,03944"
2023,100490219,"406,94681","432,41599"
2022,100490219,"404,27331","443,53861"
2023,101110218,"413,08542","472,81457"
2022,101110218,"393,18213","456,85235"
2023,107610443,"409,69383","429,07827"
2022,107610443,"401,56373","436,07308"
2023,107310049,"407,13057","420,86546"
2022,107310049,"406,36817","438,19857"
2023,111110090,"414,58929","444,04916"
2022,111110090,"407,87063","430,96541"
2023,105761193,"408,87661","439,39124"
2023,103410033,"418,36779","453,86842"
2022,103410033,"400,96445","500,53383"
2023,106910125,"413,44172","463,62951"
2022,106910125,"405,03240","448,22959"
2023,111790360,"397,66244","431,25795"
2023,100910231,"404,83823","443,12325"
2022,100910231,"401,39128","454,31385"
2023,109190032,"402,67747","447,08063"
2022,109190032,"399,19321","425,81968"
2023,108410539,"423,74506","470,24334"
2022,108410539,"412,74929","451,67047"
2023,109490283,"411,04554","467,55872"
2022,109490283,"403,47069","439,27438"
2023,108410063,"387,24721","457,32778"
2022,108410063,"354,90093","456,86453"
2023,100890090,"402,15741","418,29709"
2022,100890090,"400,47605","421,06439"
2023,103190560,"407,57331","462,22698"
2022,103190560,"393,46054","445,78626"
2023,110210578,"404,70895","456,61458"
2022,110210578,"403,47145","445,72414"
2023,100310573,"404,91269","449,19811"
2022,100310573,"398,03422","434,06653"
2023,105490190,"403,37711","447,33278"
2023,110670190,"403,78640","460,35491"
2022,110670190,"390,39439","462,15486"
2023,100190172,"406,02942","476,94885"
2022,100190172,"396,59008","446,58287"
2023,104590159,"399,91772","463,41008"
2022,104590159,"397,19219","437,78135"
2023,112771079,"406,53997","453,47632"
2022,112771079,"393,20425","460,59117"
2023,108990442,"404,89223","454,16146"
2022,108990442,"393,94386","448,25449"
2023,102610713,"400,28982","444,90240"
2022,102610713,"398,51866","446,56540"
2023,110910147,"400,87357","447,25365"
2022,110910147,"362,87459","435,24467"
2023,108610122,"402,52851","443,76331"
2022,108610122,"394,45484","443,92310"
2023,101690096,"399,05891","456,12625"
2022,101690096,"395,91275","435,07863"
2023,100710869,"403,51540","488,60585"
2022,100710869,"391,92300","450,56550"
2023,101410375,"397,98070","471,92427"
2022,101410375,"396,67012","523,98854"
2023,105310055,"400,74016","461,54064"
2022,105310055,"407,45847","461,82799"
2023,108190145,"397,26602","457,87744"
2022,108190145,"397,60467","442,61212"
2023,111610422,"406,87145","426,97656"
2022,111610422,"390,69054","469,54337"
2023,111610397,"405,90673","434,23242"
2022,111610397,"381,38097","439,89843"
2023,104110193,"403,07459","467,55657"
2022,104110193,"384,52158","473,94962"
2023,101010088,"402,56771","527,62953"
2022,101010088,"396,29554","457,87844"
2023,104390117,"395,25010","440,99856"
2022,104390117,"394,83745","474,51406"
2023,103510156,"398,98640","452,19208"
2022,103510156,"386,16268","441,12950"
2023,103990109,"396,52509","444,55392"
2022,103990109,"395,56134","492,27112"
2023,103510147,"395,00206","456,27503"
2022,103510147,"386,44379","451,56963"
2023,105690809,"406,35977","456,14274"
2022,105690809,"389,80088","477,10587"
2023,104110272,"396,86995","416,78661"
2022,104110272,"373,56064","434,91645"
2023,106090102,"388,52259","447,18124"
2022,106090102,"396,77630","434,69268"
