Üniversite,Bölüm/Fakülte,Ücret,Burs oranı,Akademik yıl
Antalya Akev Üniversitesi,Sosyoloji,42.500 TL, %50 İndirim ,2022
Başkent Üniversitesi,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi - 78.000 TL,78.000 TL,2022
Başkent Üniversitesi,İngilizce Hazırlık Programı - 65.000 TL,65.000 TL,2022
Başkent Üniversitesi,Ön Lisans Programları - 45.000 TL,45.000 TL,2022
Beykoz Üniversitesi,İşletme ve Yönetim Bilimleri Fakültesi (%50 İndirimli) - 34.560 TL,34.560 TL,2022
Beykoz Üniversitesi,Bilgisayar ve Yazılım Mühendisliği ( %50 İndirimli) - 45.900 TL,45.900 TL,2022
Beykoz Üniversitesi,Endüstri Mühendisliği ( %50 İndirimli) - 34.560 TL,34.560 TL,2022
Beykoz Üniversitesi,Mimarlık ( %50 İndirimli) - 43.200 TL,43.200 TL,2022
Beykoz Üniversitesi,Psikoloji (%50 İndirimli) - 69.120 TL,69.120 TL,2022
Beykoz Üniversitesi,Gastronomi ve Mutfak Sanatları ( %50 İndirimli) - 55.080 TL,55.080 TL,2022
Beykoz Üniversitesi,Çizgi Film ve Animasyon ( %50 İndirimli) - 43.200 TL,43.200 TL,2022
Beykoz Üniversitesi,Dijital Oyun Tasarımı (%50 İndirimli) - 43.200 TL,43.200 TL,2022
Beykoz Üniversitesi,"Radyo, Televizyon ve Sinema (%50 İndirimli) - 38.800 TL",38.800 TL,2022
Beykoz Üniversitesi,Siyaset Bilimi ve Uluslararası İlişkiler (%50 İndirimli) - 30.240 TL,30.240 TL,2022
Beykoz Üniversitesi,İç Mimarlık ve Çevre Tasarımı (%50 İndirimli) - 51.840 TL,51.840 TL,2022
Bezm- i Alem Üniversitesi,Tıp Fakültesi - 180.000 TL,180.000 TL,2022
Bezm- i Alem Üniversitesi,Tıp Fakültesi ( %50 İndirimli) - 90.000 TL,90.000 TL,2022
Bezm- i Alem Üniversitesi,Hazırlık - 93.800 TL,93.800 TL,2022
Bezm- i Alem Üniversitesi,Sağlık Yönetimi Bölümü - 50.400 TL,50.400 TL,2022
Bezm- i Alem Üniversitesi,Ergoterapi Bölümü - 66.000 TL,66.000 TL,2022
Bezm- i Alem Üniversitesi,Diş Hekimliği Fakültesi - 175.000 TL,175.000 TL,2022
Bezm- i Alem Üniversitesi,Eczacılık Fakültesi - 130.000 TL,130.000 TL,2022
Bezm- i Alem Üniversitesi,Beslenme ve Diyetetik - 75.000 TL,75.000 TL,2022
Bezm- i Alem Üniversitesi,Fizyoterapi ve Rehabilitasyon - 75.000 TL,75.000 TL,2022
Bezm- i Alem Üniversitesi,Hemşirelik - 62.500 TL,62.500 TL,2022
Bezm- i Alem Üniversitesi,Odyoloji - 72.000 TL,72.000 TL,2022
Bilgi Üniversitesi,Hukuk Fakültesi - 139.000 TL,139.000 TL,2022
Bilgi Üniversitesi,İletişim Fakültesi - 110.000 TL,110.000 TL,2022
Bilgi Üniversitesi,İşletme Fakültesi - 110.00 TL,110.00 TL,2022
Bilgi Üniversitesi,Endüstriyel Tasarım ( %50 Burslu) - 55.000 TL,55.000 TL,2022
Bilgi Üniversitesi,İç Mimarlık (%50 Burslu) - 55.000 TL,55.000 TL,2022
Bilgi Üniversitesi,Mühendislik ve Doğa Bilimleri Fakültesi - 119.000 TL,119.000 TL,2022
Bilgi Üniversitesi,Sağlık Bilimleri Fakültesi - 98.000 TL,98.000 TL,2022
Bilgi Üniversitesi,Sosyal ve Beşeri Bilimler Fakültesi (%50 Burslu) - 55.000 TL,55.000 TL,2022
