,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,DEVLET,AYDIN,BİRİNCİ Ö.,6711,6578,13289,10652,11272,21924,968,1270,2238,316,440,756,18647,19560,38207,
,BAHÇEŞEHİR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,480,866,1346,10913,9249,20162,2214,3005,5219,220,294,514,13827,13414,27241,
,BALIKESİR ÜNİVERSİTESİ,DEVLET,BALIKESİR,BİRİNCİ Ö.,4126,2285,6411,6598,7892,14490,595,707,1302,166,143,309,11485,11027,22512,
,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,DEVLET,BALIKESİR,BİRİNCİ Ö.,2124,1980,4104,4015,3536,7551,693,464,1157,68,59,127,6900,6039,12939,
,BARTIN ÜNİVERSİTESİ,DEVLET,BARTIN,BİRİNCİ Ö.,2107,1876,3983,4420,4276,8696,606,492,1098,46,62,108,7179,6706,13885,
,BAŞKENT ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,1141,1294,2435,5201,7077,12278,514,861,1375,254,359,613,7110,9591,16701,
,BATMAN ÜNİVERSİTESİ,DEVLET,BATMAN,BİRİNCİ Ö.,2462,2001,4463,2693,2034,4727,1137,466,1603,59,20,79,6351,4521,10872,
,BAYBURT ÜNİVERSİTESİ,DEVLET,BAYBURT,BİRİNCİ Ö.,1854,1967,3821,2159,2741,4900,546,292,838,48,14,62,4607,5014,9621,
,BEYKENT ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,3079,3950,7029,9674,8144,17818,674,623,1297,67,63,130,13494,12780,26274,
,BEYKOZ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,1344,1148,2492,1207,1125,2332,235,217,452,0,0,0,2786,2490,5276,
,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,201,617,818,577,1548,2125,30,70,100,26,60,86,834,2295,3129,
,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,DEVLET,BİLECİK,BİRİNCİ Ö.,3071,2556,5627,4198,3717,7915,669,391,1060,84,75,159,8022,6739,14761,
,BİNGÖL ÜNİVERSİTESİ,DEVLET,BİNGÖL,BİRİNCİ Ö.,2969,2722,5691,2921,2856,5777,493,294,787,153,29,182,6536,5901,12437,
,BİRUNİ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,757,1849,2606,2070,4946,7016,111,357,468,42,69,111,2980,7221,10201,
,BİTLİS EREN ÜNİVERSİTESİ,DEVLET,BİTLİS,BİRİNCİ Ö.,3007,2568,5575,1574,1743,3317,437,178,615,10,6,16,5028,4495,9523,
,BOĞAZİÇİ ÜNİVERSİTESİ,DEVLET,İSTANBUL,BİRİNCİ Ö.,0,0,0,7131,5641,12772,840,756,1596,473,496,969,8444,6893,15337,
,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,DEVLET,BOLU,BİRİNCİ Ö.,2989,2748,5737,7208,9531,16739,838,941,1779,260,275,535,11295,13495,24790,
,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,DEVLET,BURDUR,BİRİNCİ Ö.,4715,4154,8869,7011,7696,14707,851,917,1768,177,152,329,12754,12919,25673,
,BURSA TEKNİK ÜNİVERSİTESİ,DEVLET,BURSA,BİRİNCİ Ö.,0,0,0,3577,3324,6901,787,604,1391,140,114,254,4504,4042,8546,
