academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber
2023,IĞDIR ÜNİVERSİTESİ,DEVLET,655,

2023,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,1028,

2023,IŞIK ÜNİVERSİTESİ,VAKIF,1128,

2023,İBN HALDUN ÜNİVERSİTESİ,VAKIF,561,

2023,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,VAKIF,530,

2023,İNÖNÜ ÜNİVERSİTESİ,DEVLET,811,

2023,İSKENDERUN TEKNİK ÜNİVERSİTESİ,DEVLET,743,

2023,İSTANBUL AREL ÜNİVERSİTESİ,VAKIF,1576,

2023,İSTANBUL ATLAS ÜNİVERSİTESİ,VAKIF,1635,

2023,İSTANBUL AYDIN ÜNİVERSİTESİ,VAKIF,5663,

2023,İSTANBUL BEYKENT ÜNİVERSİTESİ,VAKIF,1524,

2023,İSTANBUL BİLGİ ÜNİVERSİTESİ,VAKIF,2058,

2023,İSTANBUL ESENYURT ÜNİVERSİTESİ,VAKIF,4020,

2023,İSTANBUL GALATA ÜNİVERSİTESİ,VAKIF,408,

2023,İSTANBUL GEDİK ÜNİVERSİTESİ,VAKIF,1044,

2023,İSTANBUL GELİŞİM ÜNİVERSİTESİ,VAKIF,5850,

2023,İSTANBUL KENT ÜNİVERSİTESİ,VAKIF,2134,

2023,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,VAKIF,1239,

2023,İSTANBUL MEDENİYET ÜNİVERSİTESİ,DEVLET,478,

2023,İSTANBUL MEDİPOL ÜNİVERSİTESİ,VAKIF,9976,

2023,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,VAKIF,5913,

2023,İSTANBUL OKAN ÜNİVERSİTESİ,VAKIF,2613,

2023,İSTANBUL RUMELİ ÜNİVERSİTESİ,VAKIF,1006,

2023,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,VAKIF,1423,

2023,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,VAKIF MYO,5,

2023,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,4,

2023,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,VAKIF MYO,2708,

2023,İSTANBUL TEKNİK ÜNİVERSİTESİ,DEVLET,1670,

2023,İSTANBUL TİCARET ÜNİVERSİTESİ,VAKIF,1113,

2023,İSTANBUL TOPKAPI ÜNİVERSİTESİ,VAKIF,4045,

2023,İSTANBUL ÜNİVERSİTESİ,DEVLET,10180,

2023,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,DEVLET,1624,

2023,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,VAKIF,4506,

2023,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,VAKIF,342,

2023,İSTİNYE ÜNİVERSİTESİ,VAKIF,3877,

2023,İZMİR BAKIRÇAY ÜNİVERSİTESİ,DEVLET,41,

2023,İZMİR DEMOKRASİ ÜNİVERSİTESİ,DEVLET,476,

2023,İZMİR EKONOMİ ÜNİVERSİTESİ,VAKIF,284,

2023,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,DEVLET,851,

2023,İZMİR KAVRAM MESLEK YÜKSEKOKULU,VAKIF MYO,107,

2023,İZMİR TINAZTEPE ÜNİVERSİTESİ,VAKIF,82,

2023,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,DEVLET,167,

2023,KADİR HAS ÜNİVERSİTESİ,VAKIF,527,

2023,KAFKAS ÜNİVERSİTESİ,DEVLET,1435,

2023,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,DEVLET,20,

2023,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,DEVLET,1349,

2023,KAPADOKYA ÜNİVERSİTESİ,VAKIF,409,

2023,KARABÜK ÜNİVERSİTESİ,DEVLET,11558,

2023,KARADENİZ TEKNİK ÜNİVERSİTESİ,DEVLET,1584,

2023,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,DEVLET,851,

2023,KASTAMONU ÜNİVERSİTESİ,DEVLET,1759,

2023,KAYSERİ ÜNİVERSİTESİ,DEVLET,605,

2023,KIRIKKALE ÜNİVERSİTESİ,DEVLET,225,

2023,KIRKLARELİ ÜNİVERSİTESİ,DEVLET,2502,

2023,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,DEVLET,2072,

2023,KİLİS 7 ARALIK ÜNİVERSİTESİ,DEVLET,933,

2023,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,779,

2023,KOCAELİ ÜNİVERSİTESİ,DEVLET,2249,

2023,KOÇ ÜNİVERSİTESİ,VAKIF,838,

2023,KONYA GIDA VE TARIM ÜNİVERSİTESİ,VAKIF,220,

2023,KONYA TEKNİK ÜNİVERSİTESİ,DEVLET,385,

2023,KTO KARATAY ÜNİVERSİTESİ,VAKIF,597,

2023,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,DEVLET,7505,

2023,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,52,

2023,LOKMAN HEKİM ÜNİVERSİTESİ,VAKIF,395,

2023,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,DEVLET,90,

2023,MALTEPE ÜNİVERSİTESİ,VAKIF,464,

2023,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,DEVLET,1158,

2023,MARDİN ARTUKLU ÜNİVERSİTESİ,DEVLET,1749,

2023,MARMARA ÜNİVERSİTESİ,DEVLET,2509,

2023,MEF ÜNİVERSİTESİ,VAKIF,32,

2023,MERSİN ÜNİVERSİTESİ,DEVLET,3490,

2023,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,170,

2023,MUDANYA ÜNİVERSİTESİ,VAKIF,123,

2023,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,DEVLET,1068,

2023,MUNZUR ÜNİVERSİTESİ,DEVLET,100,

2023,MUŞ ALPARSLAN ÜNİVERSİTESİ,DEVLET,12,

2023,NECMETTİN ERBAKAN ÜNİVERSİTESİ,DEVLET,1992,

2023,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,DEVLET,516,

2023,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,DEVLET,1178,

2023,NUH NACİ YAZGAN ÜNİVERSİTESİ,VAKIF,94,

2023,ONDOKUZ MAYIS ÜNİVERSİTESİ,DEVLET,5746,

2023,ORDU ÜNİVERSİTESİ,DEVLET,105,

2023,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,DEVLET,2031,

2023,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,DEVLET,141,

2023,OSTİM TEKNİK ÜNİVERSİTESİ,VAKIF,3056,

2023,ÖZYEĞİN ÜNİVERSİTESİ,VAKIF,1229,

2023,PAMUKKALE ÜNİVERSİTESİ,DEVLET,1579,

2023,PİRİ REİS ÜNİVERSİTESİ,VAKIF,18,

2023,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,DEVLET,430,

2023,SABANCI ÜNİVERSİTESİ,VAKIF,581,

2023,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,2523,

2023,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,3943,

2023,SAKARYA ÜNİVERSİTESİ,DEVLET,5196,

2023,SAMSUN ÜNİVERSİTESİ,DEVLET,256,

2023,SANKO ÜNİVERSİTESİ,VAKIF,33,

2023,SELÇUK ÜNİVERSİTESİ,DEVLET,2122,

2023,SİİRT ÜNİVERSİTESİ,DEVLET,2236,

2023,SİNOP ÜNİVERSİTESİ,DEVLET,106,

2023,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,44,

2023,SİVAS CUMHURİYET ÜNİVERSİTESİ,DEVLET,3759,

2023,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,DEVLET,1743,

2023,ŞIRNAK ÜNİVERSİTESİ,DEVLET,90,

2023,TARSUS ÜNİVERSİTESİ,DEVLET,34,

2023,TED ÜNİVERSİTESİ,VAKIF,520,

2023,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,DEVLET,2054,

2023,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,43,

2023,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,DEVLET,3663,

2023,TOROS ÜNİVERSİTESİ,VAKIF,152,

2023,TRABZON ÜNİVERSİTESİ,DEVLET,103,

2023,TRAKYA ÜNİVERSİTESİ,DEVLET,3690,

2023,TÜRK HAVA KURUMU ÜNİVERSİTESİ,VAKIF,172,

2023,TÜRK-ALMAN ÜNİVERSİTESİ,DEVLET,68,

2023,UFUK ÜNİVERSİTESİ,VAKIF,8,

2023,UŞAK ÜNİVERSİTESİ,DEVLET,2446,

2023,ÜSKÜDAR ÜNİVERSİTESİ,VAKIF,3356,

2023,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,DEVLET,381,

2023,YALOVA ÜNİVERSİTESİ,DEVLET,1166,

2023,YAŞAR ÜNİVERSİTESİ,VAKIF,272,

2023,YEDİTEPE ÜNİVERSİTESİ,VAKIF,1098,

2023,YILDIZ TEKNİK ÜNİVERSİTESİ,DEVLET,2398,

2023,YOZGAT BOZOK ÜNİVERSİTESİ,DEVLET,1461,

2023,YÜKSEK İHTİSAS ÜNİVERSİTESİ,VAKIF,300,

2023,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,DEVLET,2423,

2022,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,235,

2022,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,169,

2022,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,26,

2022,ADIYAMAN ÜNİVERSİTESİ,DEVLET,323,

2022,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,1325,

2022,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,127,

2022,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,359,

2022,AKDENİZ ÜNİVERSİTESİ,DEVLET,2179,

2022,AKSARAY ÜNİVERSİTESİ,DEVLET,1438,

2022,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,715,

2022,ALANYA HAMDULLAH EMİN PAŞA ÜNİVERSİTESİ,VAKIF,60,

2022,ALTINBAŞ ÜNİVERSİTESİ,VAKIF,5629,

2022,AMASYA ÜNİVERSİTESİ,DEVLET,50,

2022,ANADOLU ÜNİVERSİTESİ,DEVLET,15755,

2022,ANKARA BİLİM ÜNİVERSİTESİ,VAKIF,69,

2022,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,DEVLET,652,

2022,ANKARA MEDİPOL ÜNİVERSİTESİ,VAKIF,597,

2022,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,51,

2022,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,DEVLET,266,

2022,ANKARA ÜNİVERSİTESİ,DEVLET,4626,

2022,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,DEVLET,2363,

2022,ANTALYA AKEV ÜNİVERSİTESİ,VAKIF,58,

2022,ANTALYA BİLİM ÜNİVERSİTESİ,VAKIF,730,

2022,ARDAHAN ÜNİVERSİTESİ,DEVLET,106,

2022,ARTVİN ÇORUH ÜNİVERSİTESİ,DEVLET,671,

2022,ATATÜRK ÜNİVERSİTESİ,DEVLET,6692,

2022,ATILIM ÜNİVERSİTESİ,VAKIF,772,

2022,AVRASYA ÜNİVERSİTESİ,VAKIF,57,

2022,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,DEVLET,492,

2022,BAHÇEŞEHİR ÜNİVERSİTESİ,VAKIF,5790,

2022,BALIKESİR ÜNİVERSİTESİ,DEVLET,314,

2022,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,DEVLET,1825,

2022,BARTIN ÜNİVERSİTESİ,DEVLET,1651,

2022,BAŞKENT ÜNİVERSİTESİ,VAKIF,378,

2022,BATMAN ÜNİVERSİTESİ,DEVLET,212,

2022,BAYBURT ÜNİVERSİTESİ,DEVLET,134,

2022,BEYKENT ÜNİVERSİTESİ,VAKIF,1093,

2022,BEYKOZ ÜNİVERSİTESİ,VAKIF,392,

2022,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,VAKIF,14,

2022,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,DEVLET,1422,

2022,BİNGÖL ÜNİVERSİTESİ,DEVLET,244,

2022,BİRUNİ ÜNİVERSİTESİ,VAKIF,1044,

2022,BİTLİS EREN ÜNİVERSİTESİ,DEVLET,90,

2022,BOĞAZİÇİ ÜNİVERSİTESİ,DEVLET,241,

2022,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,DEVLET,1615,

2022,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,DEVLET,980,

2022,BURSA TEKNİK ÜNİVERSİTESİ,DEVLET,740,

2022,BURSA ULUDAĞ ÜNİVERSİTESİ,DEVLET,5473,

2022,ÇAĞ ÜNİVERSİTESİ,VAKIF,20,

2022,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,DEVLET,1792,

2022,ÇANKAYA ÜNİVERSİTESİ,VAKIF,61,

2022,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,DEVLET,4769,

2022,ÇUKUROVA ÜNİVERSİTESİ,DEVLET,1436,

2022,DEMİROĞLU BİLİM ÜNİVERSİTESİ,VAKIF,10,

2022,DİCLE ÜNİVERSİTESİ,DEVLET,1116,

2022,DOĞUŞ ÜNİVERSİTESİ,VAKIF,195,

2022,DOKUZ EYLÜL ÜNİVERSİTESİ,DEVLET,1762,

2022,DÜZCE ÜNİVERSİTESİ,DEVLET,1849,

2022,EGE ÜNİVERSİTESİ,DEVLET,1903,

2022,ERCİYES ÜNİVERSİTESİ,DEVLET,2959,

2022,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,DEVLET,889,

2022,ERZURUM TEKNİK ÜNİVERSİTESİ,DEVLET,99,

2022,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,DEVLET,1546,

2022,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,DEVLET,407,

2022,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,VAKIF,868,

2022,FENERBAHÇE ÜNİVERSİTESİ,VAKIF,323,

2022,FIRAT ÜNİVERSİTESİ,DEVLET,1430,

2022,GALATASARAY ÜNİVERSİTESİ,DEVLET,22,

2022,GAZİ ÜNİVERSİTESİ,DEVLET,1277,

2022,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,40,

2022,GAZİANTEP ÜNİVERSİTESİ,DEVLET,3391,

2022,GEBZE TEKNİK ÜNİVERSİTESİ,DEVLET,198,

2022,GİRESUN ÜNİVERSİTESİ,DEVLET,1062,

2022,GÜMÜŞHANE ÜNİVERSİTESİ,DEVLET,227,

2022,HACETTEPE ÜNİVERSİTESİ,DEVLET,1093,

2022,HALİÇ ÜNİVERSİTESİ,VAKIF,1420,

2022,HARRAN ÜNİVERSİTESİ,DEVLET,2239,

2022,HASAN KALYONCU ÜNİVERSİTESİ,VAKIF,282,

2022,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,DEVLET,536,

2022,HİTİT ÜNİVERSİTESİ,DEVLET,805,

2022,IĞDIR ÜNİVERSİTESİ,DEVLET,616,

2022,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,419,

2022,IŞIK ÜNİVERSİTESİ,VAKIF,948,

2022,İBN HALDUN ÜNİVERSİTESİ,VAKIF,508,

2022,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,VAKIF,635,

2022,İNÖNÜ ÜNİVERSİTESİ,DEVLET,978,

2022,İSKENDERUN TEKNİK ÜNİVERSİTESİ,DEVLET,959,

2022,İSTANBUL AREL ÜNİVERSİTESİ,VAKIF,1083,

2022,İSTANBUL ATLAS ÜNİVERSİTESİ,VAKIF,309,

2022,İSTANBUL AYDIN ÜNİVERSİTESİ,VAKIF,5110,

2022,İSTANBUL BİLGİ ÜNİVERSİTESİ,VAKIF,2210,

2022,İSTANBUL ESENYURT ÜNİVERSİTESİ,VAKIF,864,

2022,İSTANBUL GALATA ÜNİVERSİTESİ,VAKIF,316,

2022,İSTANBUL GEDİK ÜNİVERSİTESİ,VAKIF,424,

2022,İSTANBUL GELİŞİM ÜNİVERSİTESİ,VAKIF,4216,

2022,İSTANBUL KENT ÜNİVERSİTESİ,VAKIF,668,

2022,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,VAKIF,1154,

2022,İSTANBUL MEDENİYET ÜNİVERSİTESİ,DEVLET,424,

2022,İSTANBUL MEDİPOL ÜNİVERSİTESİ,VAKIF,4033,

2022,İSTANBUL OKAN ÜNİVERSİTESİ,VAKIF,2165,

2022,İSTANBUL RUMELİ ÜNİVERSİTESİ,VAKIF,173,

2022,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,VAKIF,1958,

2022,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,VAKIF MYO,4,

2022,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,2,

2022,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,VAKIF MYO,27,

2022,İSTANBUL TEKNİK ÜNİVERSİTESİ,DEVLET,1744,

2022,İSTANBUL TİCARET ÜNİVERSİTESİ,VAKIF,947,

2022,İSTANBUL TOPKAPI ÜNİVERSİTESİ,VAKIF,256,

2022,İSTANBUL ÜNİVERSİTESİ,DEVLET,8281,

2022,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,DEVLET,1577,

2022,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,VAKIF,1225,

2022,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,VAKIF,225,

2022,İSTİNYE ÜNİVERSİTESİ,VAKIF,1387,

2022,İZMİR BAKIRÇAY ÜNİVERSİTESİ,DEVLET,5,

2022,İZMİR DEMOKRASİ ÜNİVERSİTESİ,DEVLET,36,

2022,İZMİR EKONOMİ ÜNİVERSİTESİ,VAKIF,228,

2022,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,DEVLET,748,

2022,İZMİR KAVRAM MESLEK YÜKSEKOKULU,VAKIF MYO,19,

2022,İZMİR TINAZTEPE ÜNİVERSİTESİ,VAKIF,34,

2022,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,DEVLET,124,

2022,KADİR HAS ÜNİVERSİTESİ,VAKIF,364,

2022,KAFKAS ÜNİVERSİTESİ,DEVLET,1743,

2022,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,DEVLET,7,

2022,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,DEVLET,1665,

2022,KAPADOKYA ÜNİVERSİTESİ,VAKIF,63,

2022,KARABÜK ÜNİVERSİTESİ,DEVLET,11931,

2022,KARADENİZ TEKNİK ÜNİVERSİTESİ,DEVLET,1229,

2022,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,DEVLET,572,

2022,KASTAMONU ÜNİVERSİTESİ,DEVLET,2414,

2022,KAYSERİ ÜNİVERSİTESİ,DEVLET,18,

2022,KIRIKKALE ÜNİVERSİTESİ,DEVLET,305,

2022,KIRKLARELİ ÜNİVERSİTESİ,DEVLET,2165,

2022,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,DEVLET,2144,

2022,KİLİS 7 ARALIK ÜNİVERSİTESİ,DEVLET,926,

2022,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,VAKIF,112,

2022,KOCAELİ ÜNİVERSİTESİ,DEVLET,1566,

2022,KOÇ ÜNİVERSİTESİ,VAKIF,637,

2022,KONYA GIDA VE TARIM ÜNİVERSİTESİ,VAKIF,14,

2022,KONYA TEKNİK ÜNİVERSİTESİ,DEVLET,425,

2022,KTO KARATAY ÜNİVERSİTESİ,VAKIF,482,

2022,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,DEVLET,8281,

2022,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,60,

2022,LOKMAN HEKİM ÜNİVERSİTESİ,VAKIF,222,

2022,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,DEVLET,53,

2022,MALTEPE ÜNİVERSİTESİ,VAKIF,521,

2022,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,DEVLET,971,

2022,MARDİN ARTUKLU ÜNİVERSİTESİ,DEVLET,1719,

2022,MARMARA ÜNİVERSİTESİ,DEVLET,2385,

