academicYear,universityName,universityType,totalForeignStudents,totalStudentNumber
2023,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,DEVLET,430,11552
2023,HİTİT ÜNİVERSİTESİ,DEVLET,1318,8519
2023,IĞDIR ÜNİVERSİTESİ,DEVLET,655,5709
2023,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,DEVLET,1028,3558
2023,IŞIK ÜNİVERSİTESİ,VAKIF,1128,4810
2023,İBN HALDUN ÜNİVERSİTESİ,VAKIF,561,929
2023,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,VAKIF,530,11029
2023,İNÖNÜ ÜNİVERSİTESİ,DEVLET,811,19945
2023,İSKENDERUN TEKNİK ÜNİVERSİTESİ,DEVLET,743,6026
2023,İSTANBUL AREL ÜNİVERSİTESİ,VAKIF,1576,5477
2023,İSTANBUL ATLAS ÜNİVERSİTESİ,VAKIF,1635,4615
2023,İSTANBUL AYDIN ÜNİVERSİTESİ,VAKIF,5663,21084
2023,İSTANBUL BEYKENT ÜNİVERSİTESİ,VAKIF,1524,15640
2023,İSTANBUL BİLGİ ÜNİVERSİTESİ,VAKIF,2058,15289
2023,İSTANBUL ESENYURT ÜNİVERSİTESİ,VAKIF,4020,5310
2023,İSTANBUL GALATA ÜNİVERSİTESİ,VAKIF,408,2152
2023,İSTANBUL GEDİK ÜNİVERSİTESİ,VAKIF,1044,3565
2023,İSTANBUL GELİŞİM ÜNİVERSİTESİ,VAKIF,5850,19714
2023,İSTANBUL KENT ÜNİVERSİTESİ,VAKIF,2134,5385
2023,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,VAKIF,1239,9101
2023,İSTANBUL MEDENİYET ÜNİVERSİTESİ,DEVLET,478,13642
2023,İSTANBUL MEDİPOL ÜNİVERSİTESİ,VAKIF,9976,31420
2023,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,VAKIF,5913,18206
2023,İSTANBUL OKAN ÜNİVERSİTESİ,VAKIF,2613,10146
2023,İSTANBUL RUMELİ ÜNİVERSİTESİ,VAKIF,1006,3947
