academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
academicYear,universityName,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2021,KOÇ ÜNÝVERSÝTESÝ,Fen Fakültesi,Fizik,203910054,SAY,English,100,8,8,,,,ÝSTANBUL,Marmara,6,3,3,1.100,95,3.864,16.222,,,"%87,5","%25,0",191,,"%41,9","%67,0","%86,9","4,1",,"1,8","%62,5","%87,5","%100,0",,31,45,76,15,60
2023,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,202110408,SAY,English,100,42,42,,,,ANKARA,Ýç Anadolu,9,2,6,242,7,423,1.804,,,"%78,3","%45,7",1531,,"%29,6","%71,7","%92,9","3,1",,"1,1","%89,1","%100,0","%100,0",,164,139,303,161,224
2022,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,202110408,SAY,English,100,45,45,,,,ANKARA,Ýç Anadolu,9,2,5,350,4,1.012,3.611,,,"%75,6","%44,4",1.545,,"%28,9","%72,1",1443,"3,1",,"1,2","%80,0","%100,0","%100,0",,154,125,279,176,244
2021,ÝHSAN DOÐRAMACI BÝLKENT ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Bilgisayar Mühendisliði,202110408,SAY,English,100,45,45,,,,ANKARA,Ýç Anadolu,10,1,5,432,62,810,4.196,,,"%60,0","%51,1",1.471,,"%25,6","%69,3","%94,2","3,3",,"1,4","%71,1","%97,8","%100,0",,165,140,305,177,239
2023,ÝSTANBUL MEDÝPOL ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp ,203110035,SAY,Turkish,100,23,23,,,,ÝSTANBUL,Marmara,113,45,90,250,41,295,807,,,"%92,6","%11,1",444,,"%20,3","%50,7","%85,1","4,8",,"2,1","%14,8","%96,3","%100,0",,117,92,209,197,96
2022,ÝSTANBUL MEDÝPOL ÜNÝVERSÝTESÝ,Týp Fakültesi,Týp ,203110035,SAY,Turkish,100,21,21,,,,ÝSTANBUL,Marmara,97,42,96,1.292,94,2.116,9.314,,,"%100,0","%4,8",274,,"%18,2","%49,6",230,"5,0",,"2,7","%9,5","%81,0","%100,0",,167,76,243,228,82
2021,ÝSTANBUL MEDÝPOL ÜNÝVERSÝTESÝ,Týp Fakültesi ,Týp ,203110035,SAY,Turkish,100,18,18,,,,ÝSTANBUL,Marmara,82,32,85,559,59,748,2.532,,,"%100,0","%11,1",258,,"%19,4","%57,8","%84,9","5,2",,"1,7","%38,9","%100,0","%100,0",,96,58,154,147,67
2023,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,203910399,SAY,English,100,14,14,,,,ÝSTANBUL,Marmara,7,3,5,297,67,643,2.704,,,"%88,2","%23,5",575,,"%17,0","%54,1","%88,5","4,6",,"1,8","%29,4","%94,1","%100,0",,45,70,115,35,105
2022,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,203910399,SAY,English,100,16,16,,,,ÝSTANBUL,Marmara,7,2,5,383,18,778,3.255,,,"%93,8","%12,5",460,,"%15,0","%50,9",399,"4,4",,"1,9","%43,8","%93,8","%100,0",,55,76,131,40,119
2021,KOÇ ÜNÝVERSÝTESÝ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliði,203910399,SAY,English,100,15,15,,,,ÝSTANBUL,Marmara,7,2,5,390,37,1.429,4.270,,,"%86,7","%46,7",513,,"%15,8","%54,4","%90,8","4,3",,"1,7","%46,7","%100,0","%100,0",,55,67,122,40,93
