academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Makine Mühendisliği,202110877,SAY,İngilizce,100,26,26,,,,ANKARA,İç Anadolu,1,5,2,2.086,308,4.518,21.616,,,"% 51,7","% 55,2",747,,"% 13,4","% 37,1","% 83,5","5,8",,"2,4","% 44,8","% 82,8","% 100,0",,152,103,255,78,127
2024,KOÇ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Kimya-Biyoloji Mühendisliği,203910451,SAY,İngilizce,100,4,4,,,,İSTANBUL ,,7,1,2,2.14,1.152,4.498,8.572,,,"% 83,3",,134,,"% 21,6","% 51,5","% 80,6","5,6",,"2,8","% 50,0","% 66,7","% 100,0",,31,28,59,4,36
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Bilgisayar Mühendisliği,202110735,SAY,İngilizce,50,35,35,,,,ANKARA,İç Anadolu,---,---,---,2.392,529,5.232,15.793,,,"% 54,3","% 62,9",383,,"% 13,1","% 41,3","% 89,0","5,0",,"3,9","% 0,0","% 54,3","% 100,0",,229,191,420,185,153
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Yapay Zeka Mühendisliği,205490113,SAY,İngilizce,100,9,9,,,,ANKARA ,,3,1,4,2.474,1.184,3.589,11.572,,,"% 81,8",,409,,"% 6,8","% 27,6","% 77,0","7,0",,"3,2","% 9,1","% 72,7","% 100,0",,68,45,113,16,56
2024,TÜRK HAVA KURUMU ÜNİVERSİTESİ,vak�f,Hava Ulaştırma Fakültesi,Pilotaj,205710544,SAY,İngilizce,100,2,2,,,,ANKARA ,,1,1,1,2.508,2.491,5.652,7.494,,,"% 66,7",,606,,"% 19,8","% 48,3","% 84,3","5,2",,"1,0","% 100,0","% 100,0","% 100,0",,11,9,20,2,22
2024,KOÇ ÜNİVERSİTESİ,vak�f,Fen Fakültesi,Kimya,203910099,SAY,İngilizce,100,6,6,,,,İSTANBUL ,,2,5,1,2.544,1.585,3.288,7.629,,,"% 55,6",,123,,"% 18,7","% 43,9","% 75,6","6,5",,"2,3","% 22,2","% 66,7","% 77,8",,41,35,76,8,47
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,205410132,SAY,,100,13,13,,,,ANKARA ,,6,1,4,2.681,1.902,3.381,9.332,,,"% 75,0",,595,,"% 3,9","% 20,7","% 74,6","7,3",,"3,9","% 12,5","% 43,8","% 100,0",,101,46,147,38,72
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Fen Fakültesi,Moleküler Biyoloji ve Genetik,202110126,SAY,İngilizce,100,11,11,,,,ANKARA,İç Anadolu,1,2,6,2.774,319,3.191,7.14,,,"% 53,8","% 53,8",425,,"% 25,6","% 49,4","% 79,5","5,7",,"1,6","% 92,3","% 92,3","% 100,0",,36,29,65,28,63
2024,KOÇ ÜNİVERSİTESİ,vak�f,Tıp Fakültesi,Tıp,203910706,SAY,İngilizce,50,33,33,,,,İSTANBUL ,,---,---,---,2.887,38,2.541,19.036,,,"% 90,9",,142,,"% 50,7","% 71,1","% 92,3","3,4",,"1,3","% 81,8","% 97,0","% 100,0",,176,80,256,221,256
2024,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,vak�f,Fen Fakültesi,Fizik,202110065,SAY,İngilizce,100,19,19,,,,ANKARA,İç Anadolu,7,---,4,3.035,145,4.985,15.105,,,"% 76,2","% 42,9",391,,"% 27,1","% 52,9","% 79,5","5,4",,"1,4","% 71,4","% 95,2","% 100,0",,82,55,137,44,97
