academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,KOCAELİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,106910046,SÖZ,,,50,50,,,,KOCAELİ,Marmara,1,1,3,16.102,2.663,471.768,720.388,,,"% 63,5","% 61,5",1.3,,"% 7,5","% 20,1","% 54,8","9,5",,"7,9","% 19,2","% 34,6","% 69,2",,750,11,761,427,294
2024,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,100310025,SÖZ,,,50,50,,,,AYDIN,Ege,1,3,2,16.668,8.966,490.654,888.219,,,"% 84,6","% 38,5",1.72,,"% 4,6","% 15,5","% 48,8","10,5",,"10,7","% 3,8","% 25,0","% 44,2",,889,1,903,503,298
2024,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,107610046,SÖZ,,,50,50,,,,MUĞLA,Ege,1,1,3,16.974,12.109,507.288,889.506,,,"% 96,2","% 11,5",1.594,,"% 3,9","% 13,2","% 48,1","10,8",,"12,3","% 5,8","% 5,8","% 42,3",,1005,12,1024,563,274
2024,YILDIZ TEKNİK ÜNİVERSİTESİ,devlet,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatı,110110119,SÖZ,,,30,30,,,,İSTANBUL ,,4,3,9,17.047,3.993,376.26,680.471,,,"% 16,1",,1.188,,"% 10,6","% 34,4","% 71,6","7,1",,"3,0","% 16,1","% 77,4","% 96,8",,219,23,242,142,339
2024,ATATÜRK ÜNİVERSİTESİ,devlet,Kazım Karabekir Eğitim Fakültesi,Okul Öncesi Öğretmenliği,101410409,SÖZ,,,50,50,,,,ERZURUM,Doğu Anadolu,---,1,1,17.134,5.741,486.642,728.529,,,"% 51,9","% 90,4",1.495,,"% 11,6","% 30,6","% 63,3","8,4",,"7,1","% 19,2","% 48,1","% 73,1",,659,---,659,296,311
2024,BALIKESİR ÜNİVERSİTESİ,devlet,Necatibey Eğitim Fakültesi,Okul Öncesi Öğretmenliği,101510241,SÖZ,,,50,50,,,,BALIKESİR,Marmara,2,2,1,17.591,5.861,453.941,966.206,,,"% 78,8","% 30,8",1.613,,"% 5,9","% 15,5","% 50,2","10,2",,"8,1","% 13,5","% 25,0","% 67,3",,889,9,901,583,305
2024,İZMİR DEMOKRASİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,111110051,SÖZ,,,50,50,,,,İZMİR,Ege,---,1,3,17.787,11.29,502.687,897.37,,,"% 86,5","% 25,0",716,,"% 3,8","% 16,2","% 48,6","10,6",,"12,0","% 1,9","% 13,5","% 40,4",,971,10,984,509,265
2024,İNÖNÜ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,105310064,SÖZ,,,50,50,,,,MALATYA,Doğu Anadolu,---,3,1,18.132,4.972,506.887,1.007.452,,,"% 60,0","% 53,8",1.625,,"% 8,3","% 25,0","% 59,3","9,1",,"9,3","% 12,3","% 32,3","% 61,5",,868,2,873,415,394
2024,HARRAN ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,105090169,SÖZ,,,40,40,,,,ŞANLIURFA,Güneydoğu Anadolu,1,---,2,18.467,6.206,538.262,878.664,,,"% 45,1","% 88,2",1.062,,"% 16,7","% 30,0","% 62,4","8,5",,"8,8","% 19,6","% 31,4","% 60,8",,697,15,715,384,138
2024,ANKARA ÜNİVERSİTESİ,devlet,Dil ve Tarih Coğrafya Fakültesi,Türk Dili ve Edebiyatı,101110333,SÖZ,,,30,30,,,,ANKARA,İç Anadolu,8,2,3,18.699,4.867,409.852,627.685,,,"% 71,0","% 35,5",1.218,,"% 10,3","% 34,6","% 73,2","7,1",,"4,9","% 22,6","% 38,7","% 90,3",,293,4,297,96,382
2024,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,100110054,SÖZ,,,50,50,,,,BOLU,Karadeniz,---,2,7,18.705,6.588,489.236,926.526,,,"% 84,6","% 26,9",1.597,,"% 5,7","% 15,2","% 48,9","10,5",,"9,7","% 11,5","% 21,2","% 55,8",,843,6,857,546,332
2024,FIRAT ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,103910443,SÖZ,,,50,50,,,,ELAZIĞ,Doğu Anadolu,---,3,1,18.732,8.604,516.149,926.778,,,"% 76,9","% 41,5",1.284,,"% 8,1","% 25,3","% 60,4","9,0",,"9,1","% 12,3","% 23,1","% 60,0",,915,---,916,561,314
2024,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,110590018,SÖZ,,,50,50,,,,ANTALYA ,,---,3,1,18.871,10.789,490.532,863.904,,,"% 82,7",,1.11,,"% 4,2","% 13,2","% 45,0","11,1",,"10,8","% 1,9","% 17,3","% 48,1",,929,6,944,612,261
2024,İSTANBUL ÜNİVERSİTESİ,devlet,İlahiyat Fakültesi,İlahiyat,105611271,SÖZ,İngilizce,,30,30,,,,İSTANBUL,Marmara,41,28,35,19.09,6.439,387.049,663.359,,,"% 38,7","% 74,2",527,,"% 7,0","% 28,8","% 80,3","6,5",,"3,8","% 19,4","% 58,1","% 96,8",,221,22,243,100,155
2024,TRABZON ÜNİVERSİTESİ,devlet,Fatih Eğitim Fakültesi,Okul Öncesi Öğretmenliği,112110105,SÖZ,,,50,50,,,,TRABZON,Karadeniz,---,3,3,19.103,2.323,465.458,1.029.354,,,"% 57,7","% 69,2",1.177,,"% 7,2","% 21,8","% 52,0","9,7",,"7,3","% 21,2","% 46,2","% 69,2",,689,3,692,358,314
2024,SAKARYA ÜNİVERSİTESİ,devlet,Eğitim Fakültesi (Hendek),Okul Öncesi Öğretmenliği,108810041,SÖZ,,,50,50,,,,SAKARYA,Marmara,---,1,4,19.355,5.643,536.363,965.668,,,"% 80,8","% 44,2",1.301,,"% 4,7","% 16,5","% 50,7","10,2",,"9,1","% 1,9","% 21,2","% 61,5",,860,7,869,559,312
2024,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,108010437,SÖZ,,,50,50,,,,NEVŞEHİR,İç Anadolu,---,1,3,19.633,11.935,444.659,740.267,,,"% 90,4","% 50,0",1.506,,"% 2,7","% 13,7","% 47,4","10,9",,"10,6","% 1,9","% 11,5","% 51,9",,915,7,922,554,267
2024,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,devlet,Hasan Ali Yücel Eğitim Fakültesi,Türkçe Öğretmenliği,111610485,SÖZ,,,50,50,,,,İSTANBUL,Marmara,5,2,4,19.782,3.112,468.084,877.836,,,"% 36,5","% 75,0",681,,"% 6,9","% 30,1","% 71,2","7,5",,"5,2","% 3,8","% 48,1","% 84,6",,666,70,736,344,271
2024,ADIYAMAN ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,100210098,SÖZ,,,30,30,,,,ADIYAMAN,Güneydoğu Anadolu,---,---,4,19.886,5.675,489.67,887.265,,,"% 41,0","% 87,2",1.177,,"% 8,1","% 27,7","% 62,4","8,8",,"9,9","% 15,4","% 30,8","% 51,3",,487,1,488,266,262
2024,SİVAS CUMHURİYET ÜNİVERSİTESİ,devlet,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,102610052,SÖZ,,,50,50,,,,SİVAS,İç Anadolu,---,1,3,20.288,427,479.105,740.514,,,"% 61,5","% 55,8",1.399,,"% 5,6","% 17,4","% 49,7","10,2",,"8,7","% 13,5","% 26,9","% 61,5",,844,2,846,467,383
