academicYear,universityName,universityType,faculty,departmentName,idOSYM,programType,language,scholarshipRate,quota,occupiedSlots,tuitionFee,universityFoundingYear,facultyFoundingYear,universityLocation,universityRegion,profCount,assoCount,docCount,baseRanking,topRanking,avgAdmissionRanking(TYT),baseAdmissionRanking(TYT),stdDeviationStudents,revenue,outOfCityStudentRate,sameRegionStudentRate,totalPreference,weightedPreference,top1PreferenceRatio,top3PreferenceRatio,top9PreferenceRatio,avgOrderofPreference,tuitionFeeIncrease,avgAdmittedStudentPrefOrder,top1AdmittedRatio,top3AdmittedRatio,top10AdmittedRatio,admittedPrefTrendRatio,admittedGovPref,admittedPrivPref,admittedTotalPref,admittedTotalDepartmentPref,currentStudentCount
2024,YAŞAR ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Halkla İlişkiler ve Reklamcılık,206090375,SÖZ,İngilizce,50,36,36,,,,İZMİR,Ege,---,---,---,819.451,184.657,1.222.043,2.131.989,,,"% 11,1","% 91,7",202,,"% 6,4","% 26,2","% 76,7","7,0",,"4,2","% 36,1","% 61,1","% 88,9",,148,221,371,59,73
2024,İZMİR EKONOMİ ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Sinema ve Dijital Medya,203510852,SÖZ,İngilizce,50,35,35,,,,İZMİR,Ege,---,---,---,830.403,49.16,991.491,1.681.570,,,"% 20,0","% 88,6",210,,"% 6,7","% 27,6","% 76,2","6,9",,"3,1","% 34,3","% 71,4","% 97,1",,90,304,420,38,101
2024,BAHÇEŞEHİR ÜNİVERSİTESİ,vak�f,Uygulamalı Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatları,200590191,SÖZ,İngilizce,50,23,23,,,,İSTANBUL ,,---,---,---,162.938,14.882,,,,,"% 34,8",,129,,"% 10,9","% 34,1","% 79,1","6,5",,"2,0","% 52,2","% 82,6","% 100,0",,11,180,192,50,48
2024,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,vak�f,Edebiyat Fakültesi,Tarih,202210082,SÖZ,,50,25,25,,,,İSTANBUL,Marmara,---,---,---,837.294,8.108,1.218.200,2.240.090,,,"% 4,0","% 100,0",113,,"% 11,5","% 42,5","% 71,7","6,7",,"1,9","% 36,0","% 92,0","% 100,0",,96,168,264,162,92
2024,BAŞKENT ÜNİVERSİTESİ,vak�f,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,Gastronomi ve Mutfak Sanatları,200612283,SÖZ,,25,37,37,,,,ANKARA ,,---,---,---,839.708,16.272,1.144.685,1.987.124,,,"% 21,6",,146,,"% 21,2","% 43,2","% 74,7","6,4",,"2,5","% 48,6","% 81,1","% 94,6",,58,222,282,109,118
2024,HASAN KALYONCU ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",201650170,SÖZ,,50,10,10,,,,GAZİANTEP,Güneydoğu Anadolu,---,---,---,840.464,270.863,1.447.688,2.034.053,,,,"% 100,0",54,,"% 7,4","% 42,6","% 70,4","7,8",,"3,0","% 10,0","% 80,0","% 100,0",,4,65,69,19,24
2024,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,"Radyo, Televizyon ve Sinema",210402474,SÖZ,,0,1,1,,,,İSTANBUL,Marmara,---,---,---,842.765,842.765,1.395.702,1.395.702,,,,"% 100,0",29,,"% 3,4","% 20,7","% 58,6","10,8",,"1,0","% 100,0","% 100,0","% 100,0",,---,4,4,4,185
2024,MALTEPE ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Görsel İletişim Tasarımı,204112373,SÖZ,,50,9,9,,,,İSTANBUL ,,---,---,---,845.104,453.679,1.243.582,2.064.205,,,"% 22,2",,109,,"% 6,4","% 23,9","% 67,0","7,9",,"2,2","% 33,3","% 88,9","% 100,0",,3,109,112,45,57
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatı,205410477,SÖZ,,50,7,7,,,,ANKARA ,,---,---,---,859.707,12.928,1.118.094,1.626.725,,,"% 28,6",,53,,"% 3,8","% 13,2","% 66,0","8,5",,"4,4","% 0,0","% 28,6","% 100,0",,5,70,75,13,29
2024,YAŞAR ÜNİVERSİTESİ,vak�f,Uygulamalı Bilimler Yüksekokulu,Gastronomi ve Mutfak Sanatları,206011219,SÖZ,,0,8,8,,,,İZMİR,Ege,---,---,---,621.074,340.603,,,,,"% 25,0","% 75,0",84,,"% 6,0","% 39,3","% 78,6","6,4",,"6,4","% 25,0","% 37,5","% 87,5",,36,60,104,18,55
2024,YAŞAR ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",206010293,SÖZ,İngilizce,50,30,30,,,,İZMİR,Ege,---,---,---,866.269,131.029,1.287.491,2.190.907,,,"% 13,3","% 90,0",192,,"% 6,8","% 24,0","% 68,2","8,0",,"3,9","% 36,7","% 63,3","% 93,3",,94,235,346,72,86
2024,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,İletişim ve Tasarımı,203090160,SÖZ,,0,4,4,,,,İSTANBUL,Marmara,---,---,---,874.295,200.274,1.149.725,1.486.515,,,"% 25,0","% 100,0",12,,"% 25,0","% 58,3","% 75,0","6,3",,"1,8","% 75,0","% 75,0","% 100,0",,25,17,44,5,40
2024,İSTANBUL AYDIN ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Yeni Medya ve İletişim,202490589,SÖZ,,50,59,59,,,,İSTANBUL,Marmara,---,---,---,875.963,106.847,1.213.134,1.992.123,,,"% 1,7","% 98,3",458,,"% 10,3","% 29,3","% 71,6","7,2",,"2,4","% 52,5","% 79,7","% 96,6",,59,465,524,175,150
2024,ANTALYA BELEK ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,Gastronomi ve Mutfak Sanatları,210200388,SÖZ,,0,4,4,,,,ANTALYA,Akdeniz,---,---,---,883.325,57.433,1.404.422,2.269.567,,,"% 75,0","% 25,0",29,,"% 6,9","% 34,5","% 72,4","7,4",,"2,8","% 25,0","% 75,0","% 100,0",,22,35,68,23,25
2024,İSTANBUL MEDİPOL ÜNİVERSİTESİ,vak�f,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,Gastronomi ve Mutfak Sanatları,203190722,SÖZ,,25,68,68,,,,İSTANBUL,Marmara,---,---,---,885.37,12.582,1.070.256,2.106.673,,,"% 19,1","% 89,7",245,,"% 21,2","% 44,5","% 75,5","6,3",,"1,7","% 63,2","% 94,1","% 100,0",,166,527,694,353,
2024,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,vak�f,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Halkla İlişkiler ve Reklamcılık,210401781,SÖZ,,0,1,1,,,,İSTANBUL,Marmara,---,---,---,887.591,887.591,1.965.194,1.965.194,,,,"% 100,0",36,,"% 2,8","% 22,2","% 61,1","8,9",,"1,0","% 100,0","% 100,0","% 100,0",,6,8,14,4,129
2024,BAŞKENT ÜNİVERSİTESİ,vak�f,Fen-Edebiyat Fakültesi,Türk Dili ve Edebiyatı,200610233,SÖZ,,0,1,1,,,,ANKARA ,,---,---,---,906.383,906.383,1.556.709,1.556.709,,,"% 100,0",,8,,"% 0,0","% 12,5","% 12,5","13,4",,"17,0","% 0,0","% 0,0","% 0,0",,21,3,24,9,23
2024,YEDİTEPE ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Reklam Tasarımı ve İletişimi,206111263,SÖZ,İngilizce,50,44,44,,,,İSTANBUL ,,---,---,---,907.658,58.479,1.087.080,1.884.373,,,"% 9,1",,353,,"% 10,2","% 25,2","% 66,6","7,9",,"2,7","% 59,1","% 81,8","% 93,2",,23,453,476,51,214
2024,İSTANBUL BİLGİ ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Görsel İletişim Tasarımı,202512312,SÖZ,İngilizce,50,56,56,,,,İSTANBUL,Marmara,---,---,---,910.416,7.379,946.754,1.954.501,,,"% 12,5","% 92,9",298,,"% 9,4","% 32,9","% 74,8","7,1",,"2,5","% 46,4","% 83,9","% 96,4",,39,660,699,235,227
2024,İSTANBUL BİLGİ ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",202590236,SÖZ,İngilizce,50,59,59,,,,İSTANBUL,Marmara,---,---,---,926.457,13.42,1.123.328,2.135.179,,,"% 28,8","% 81,4",418,,"% 7,7","% 27,8","% 69,1","7,7",,"2,8","% 40,7","% 74,6","% 98,3",,49,558,608,170,181
2024,BAŞKENT ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",200690539,SÖZ,,50,45,45,,,,ANKARA ,,---,---,---,929.949,52.951,1.226.171,2.357.762,,,"% 15,6",,226,,"% 6,6","% 23,0","% 68,6","7,9",,"4,3","% 26,7","% 51,1","% 91,1",,145,319,465,103,125
2024,ALANYA ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,Gastronomi ve Mutfak Sanatları,210100206,SÖZ,İngilizce,50,17,17,,,,ANTALYA,Akdeniz,---,---,---,951.714,111.698,1.280.031,2.368.915,,,"% 35,3","% 64,7",63,,"% 11,1","% 34,9","% 76,2","6,5",,"2,6","% 41,2","% 76,5","% 100,0",,46,84,130,80,53
2024,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,"Radyo, Televizyon ve Sinema",210402481,SÖZ,,50,62,62,,,,İSTANBUL,Marmara,---,---,---,952.326,122.416,1.131.720,1.799.986,,,"% 22,6","% 82,3",286,,"% 18,5","% 38,8","% 74,5","6,8",,"2,2","% 69,4","% 87,1","% 96,8",,130,431,569,201,198
2024,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,İletişim ve Tasarımı,210402453,SÖZ,,0,1,1,,,,İSTANBUL,Marmara,---,---,---,952.624,952.624,2.146.750,2.146.750,,,"% 100,0",,19,,"% 0,0","% 21,1","% 57,9","9,1",,"14,0","% 0,0","% 0,0","% 0,0",,10,11,21,1,36
2024,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,vak�f,Mimarlık ve Tasarım Fakültesi,Görsel İletişim Tasarımı,205410962,SÖZ,,0,15,15,,,,ANKARA ,,---,---,---,988.908,311.017,1.265.945,1.980.383,,,"% 33,3",,76,,"% 1,3","% 14,5","% 46,1","10,6",,"5,9","% 0,0","% 33,3","% 86,7",,3,196,199,56,66
2024,İSTANBUL AYDIN ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",202410432,SÖZ,,50,56,56,,,,İSTANBUL,Marmara,---,---,---,1.020.006,137.522,1.404.830,2.301.866,,,"% 8,9","% 94,6",443,,"% 8,8","% 30,2","% 69,3","7,3",,"3,2","% 50,0","% 67,9","% 92,9",,68,518,588,202,149
2024,BAŞKENT ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",200690537,SÖZ,,0,2,2,,,,ANKARA ,,---,---,---,1.048.203,972.917,2.257.576,2.431.100,,,,,40,,"% 2,5","% 12,5","% 45,0","11,5",,"7,5","% 0,0","% 50,0","% 50,0",,1,44,45,5,23
2024,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,vak�f,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Halkla İlişkiler ve Reklamcılık,210401788,SÖZ,,50,54,54,,,,İSTANBUL,Marmara,---,---,---,1.072.906,183.538,1.386.146,2.238.738,,,"% 7,4","% 98,1",328,,"% 13,4","% 28,7","% 70,1","7,3",,"1,9","% 74,1","% 88,9","% 96,3",,78,496,576,113,165
2024,YAŞAR ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Görsel İletişim Tasarımı,206010681,SÖZ,İngilizce,0,8,8,,,,İZMİR,Ege,---,---,---,1.083.544,635.12,1.174.418,2.087.654,,,,"% 100,0",51,,"% 2,0","% 13,7","% 49,0","9,6",,"7,1","% 12,5","% 25,0","% 75,0",,39,114,154,12,21
2024,İSTANBUL GELİŞİM ÜNİVERSİTESİ,vak�f,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatları,202712373,SÖZ,,0,1,1,,,,İSTANBUL,Marmara,---,---,---,1.084.107,1.084.107,2.114.032,2.114.032,,,,"% 100,0",28,,"% 7,1","% 7,1","% 42,9","10,6",,"5,0","% 0,0","% 0,0","% 100,0",,---,6,6,2,72
2024,İSTANBUL BİLGİ ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Reklamcılık,202510794,SÖZ,İngilizce,50,73,73,,,,İSTANBUL,Marmara,---,---,---,1.088.433,72.214,1.380.553,1.975.629,,,"% 11,0","% 93,2",524,,"% 6,9","% 24,0","% 66,0","8,0",,"3,6","% 41,1","% 64,4","% 94,5",,27,922,949,153,339
2024,BAŞKENT ÜNİVERSİTESİ,vak�f,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,Gastronomi ve Mutfak Sanatları,200612256,SÖZ,,0,14,14,,,,ANKARA ,,---,---,---,1.088.822,183.07,1.676.018,2.178.369,,,"% 35,7",,95,,"% 3,2","% 34,7","% 71,6","7,7",,"5,2","% 7,1","% 50,0","% 85,7",,58,111,169,47,84
2024,FENERBAHÇE ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Yeni Medya ve İletişim,209010054,SÖZ,,50,30,30,,,,İSTANBUL ,,---,---,---,1.097.953,285.549,1.441.052,2.232.037,,,"% 6,7",,141,,"% 14,2","% 25,5","% 71,6","7,7",,"1,7","% 66,7","% 90,0","% 100,0",,23,309,332,81,75
2024,MALTEPE ÜNİVERSİTESİ,vak�f,Güzel Sanatlar Fakültesi,Gastronomi ve Mutfak Sanatları,204112294,SÖZ,,50,10,10,,,,İSTANBUL ,,---,---,---,1.107.781,467.464,1.624.666,2.485.409,,,"% 10,0",,121,,"% 5,8","% 23,1","% 71,1","8,0",,"3,2","% 50,0","% 80,0","% 90,0",,17,70,87,44,50
2024,İSTANBUL BİLGİ ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",202590400,SÖZ,İngilizce,0,6,6,,,,İSTANBUL,Marmara,---,---,---,1.115.961,934.243,1.942.063,2.161.092,,,"% 33,3","% 66,7",95,,"% 3,2","% 14,7","% 49,5","10,4",,"8,3","% 0,0","% 50,0","% 66,7",,23,71,95,36,57
2024,BAHÇEŞEHİR ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Sinema ve Televizyon,200510216,SÖZ,İngilizce,0,18,18,,,,İSTANBUL ,,---,---,---,1.116.867,258.19,1.182.985,1.855.670,,,"% 16,7",,136,,"% 5,9","% 18,4","% 50,0","9,8",,"4,1","% 38,9","% 66,7","% 88,9",,10,195,207,34,258
2024,İSTANBUL KENT ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,"Radyo, Televizyon ve Sinema",208750726,SÖZ,,0,1,1,,,,İSTANBUL,Marmara,---,---,---,1.120.628,1.120.628,2.162.642,2.162.642,,,"% 100,0","% 100,0",11,,"% 9,1","% 9,1","% 27,3","13,5",,"1,0","% 100,0","% 100,0","% 100,0",,5,17,24,18,
2024,İSTANBUL RUMELİ ÜNİVERSİTESİ,vak�f,"Sanat, Tasarım ve Mimarlık Fakültesi",Gastronomi ve Mutfak Sanatları,208151281,SÖZ,,50,17,17,,,,İSTANBUL,Marmara,---,---,---,1.125.400,97.377,1.564.657,2.272.973,,,"% 17,6","% 100,0",170,,"% 6,5","% 33,5","% 78,2","6,2",,"2,5","% 52,9","% 76,5","% 94,1",,13,153,168,80,31
2024,ALTINBAŞ ÜNİVERSİTESİ,vak�f,Uygulamalı Bilimler Fakültesi,Gastronomi ve Mutfak Sanatları,202990169,SÖZ,,50,34,34,,,,İSTANBUL ,,---,---,---,1.134.806,123.702,1.559.560,2.404.757,,,"% 5,9",,229,,"% 14,0","% 43,2","% 78,2","6,3",,"1,8","% 64,7","% 94,1","% 100,0",,35,279,324,142,82
2024,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,vak�f,Sanat ve Tasarım Fakültesi,"Radyo, Televizyon ve Sinema",203090157,SÖZ,,0,5,5,,,,İSTANBUL,Marmara,---,---,---,1.157.967,380.342,1.550.191,2.199.016,,,"% 20,0","% 80,0",28,,"% 14,3","% 32,1","% 50,0","9,4",,"5,2","% 60,0","% 60,0","% 80,0",,4,61,65,15,47
2024,ÜSKÜDAR ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Görsel İletişim Tasarımı,206511117,SÖZ,,50,59,59,,,,İSTANBUL ,,---,---,---,1.163.031,67.967,1.215.665,2.224.224,,,"% 16,9",,269,,"% 10,4","% 41,6","% 83,3","5,7",,"2,7","% 45,8","% 79,7","% 93,2",,119,460,583,195,229
2024,BAHÇEŞEHİR ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,Halkla İlişkiler ve Tanıtım,200590172,SÖZ,İngilizce,0,10,10,,,,İSTANBUL ,,---,---,---,1.163.730,232.286,1.391.339,2.210.783,,,"% 20,0",,113,,"% 0,0","% 15,0","% 48,7","10,4",,"3,4","% 0,0","% 60,0","% 100,0",,1,173,174,30,66
2024,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,vak�f,"İktisadi, İdari ve Sosyal Bilimler Fakültesi",Yeni Medya ve İletişim,210402096,SÖZ,İngilizce,0,1,1,,,,İSTANBUL,Marmara,---,---,---,1.167.108,1.167.108,2.082.157,2.082.157,,,,"% 100,0",22,,"% 0,0","% 18,2","% 68,2","8,2",,"8,0","% 0,0","% 0,0","% 100,0",,---,22,22,1,149
2024,YAŞAR ÜNİVERSİTESİ,vak�f,İletişim Fakültesi,"Radyo, Televizyon ve Sinema",206010275,SÖZ,İngilizce,0,9,9,,,,İZMİR,Ege,---,---,---,1.177.908,879.722,1.733.146,2.287.738,,,"% 11,1","% 100,0",61,,"% 4,9","% 16,4","% 54,1","9,7",,"6,1","% 22,2","% 44,4","% 88,9",,12,103,120,15,16
