Mimarlık,-2,-1
"Radyo, televizyon ve sinema",-1,-1
Tarımsal biyoteknoloji,-2,-1
Fars dili ve edebiyatı,-1,-1
Psikoloji,-1,-1
Tekstil ve moda tasarımı,-1,-1
Gastronomi ve mutfak sanatları,-1,-1
Sosyoloji,-1,-1
Antropoloji,-2,-1
İlahiyat,-1,-1
Moleküler biyoloji ve genetik,-2,-1
Almanca öğretmenliği,-1,-2
Muhasebe ve finans yönetimi,-2,-2
Beslenme ve diyetetik,-2,-2
Fen bilgisi öğretmenliği,-1,-2
Beden eğitimi ve spor öğretmenliği,-1,-2
Peyzaj mimarlığı,-2,-2
İş sağlığı ve güvenliği,-2,-2
Protohistorya ve ön asya arkeolojisi,-2,-2
Sosyal bilgiler öğretmenliği,-1,-2
Turizm rehberliği,-2,-2
Müzik öğretmenliği,-2,-2
Fizyoterapi ve rehabilitasyon,-2,-2
Biyoloji öğretmenliği,-2,-2
Arkeoloji,-2,-2
Resim-iş öğretmenliği,-2,-2
Gıda teknolojisi,-2,-2
Odyoloji,-2,-2
Sanat tarihi,-2,-2
İç mimarlık ve çevre tasarımı,-2,-2
Rekreasyon yönetimi,-2,-2
Spor yöneticiliği,-2,-2
İç mimarlık,-2,-2
Coğrafya,-2,-2
Dil ve konuşma terapisi,-2,-2
Antrenörlük eğitimi,-2,-2
Tarih,-2,-2
Ses eğitimi,-2,-2
Türk halk oyunları,-2,-2
Çocuk gelişimi,-2,-2
Ergoterapi,-2,-2
Müzikoloji,-2,-2
Rekreasyon,-2,-2
Egzersiz ve spor bilimleri,-2,-2
Geleneksel Türk sanatları,-2,-2
Seramik,-2,-2
Türk halkbilimi,-2,-2
Seramik ve cam,-2,-2
Felsefe,-2,-2
Türk müziği,-2,-2
Heykel,-2,-2
Türk dili ve edebiyatı,-2,-2
İslami ilimler,-2,-2
Biyoteknoloji,-2,-2
Müzik,-2,-2
Resim,-2,-2
Oyunculuk,-2,-2
Çağdaş Türk lehçeleri ve edebiyatları,-2,-2
Tiyatro,-2,-2
Opera,-2,-2
Bilgisayar öğretmenliği,1,1
Talaşlı üretim öğretmenliği,2,2
Moda tasarımı öğretmenliği,-1,-1
