,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BIRINCI Ö.,0,0,0,1722,1750,3472,85,67,152,44,40,84,1851,1857,3708,
,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BIRINCI Ö.,466,1050,1516,891,2445,3336,64,223,287,39,142,181,1460,3860,5320,
,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,ADANA,BIRINCI Ö.,0,0,0,2462,1741,4203,194,194,388,82,65,147,2738,2000,4738,
,ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,BIRINCI Ö.,3880,2346,6226,4333,4870,9203,281,273,554,30,25,55,8524,7514,16038,
,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BIRINCI Ö.,4943,3372,8315,7379,7841,15220,1227,1167,2394,248,190,438,13797,12570,26367,
,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BIRINCI Ö.,653,1846,2499,1311,2545,3856,33,71,104,1,6,7,1998,4468,6466,
,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,AĞRI,BIRINCI Ö.,2291,2084,4375,3114,4469,7583,669,536,1205,49,22,71,6123,7111,13234,
,AKDENİZ ÜNİVERSİTESİ,DEVLET,ANTALYA,BIRINCI Ö.,9393,6391,15784,16867,15764,32631,1520,1932,3452,655,811,1466,28435,24898,53333,
,AKSARAY ÜNİVERSİTESİ,DEVLET,AKSARAY,BIRINCI Ö.,2688,2271,4959,4852,6114,10966,1247,1043,2290,104,81,185,8891,9509,18400,
,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,ANTALYA,BIRINCI Ö.,2442,1940,4382,4805,4417,9222,236,355,591,34,40,74,7517,6752,14269,
,ALANYA ÜNİVERSİTESİ,VAKIF,ANTALYA,BIRINCI Ö.,55,97,152,263,202,465,22,34,56,0,0,0,340,333,673,
