ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,SURİYE ARAP CUMHURİYETİ,17,5,22
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,TACİKİSTAN CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,TANZANYA BİRLEŞİK CUMHURİYETİ,3,0,3
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,TUNUS CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,UKRAYNA,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ÜRDÜN HAŞİMİ KRALLIĞI,7,1,8
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,VATANSIZ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,YEMEN CUMHURİYETİ,4,2,6
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ZAMBİYA CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ZİMBABVE CUMHURİYETİ,3,1,4
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,AFGANİSTAN İSLAM CUMHURİYETİ,0,1,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,ALMANYA FEDERAL CUMHURİYETİ,2,8,10
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,AMERİKA BİRLEŞİK DEVLETLERİ,4,4,8
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,AVUSTURYA CUMHURİYETİ,0,3,3
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,AZERBAYCAN CUMHURİYETİ,9,13,22
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BELARUS CUMHURİYETİ,1,0,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BULGARİSTAN CUMHURİYETİ,0,3,3
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BÜYÜK BRİTANYA VE KUZEY İRLANDA BİRLEŞİK KRALLIĞI,0,1,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,ÇİN HALK CUMHURİYETİ,1,0,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,DANİMARKA KRALLIĞI,1,0,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,FAS KRALLIĞI,0,1,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,FİLDİŞİ SAHİLİ CUMHURİYETİ,1,3,4
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,FİLİSTİN DEVLETİ,0,2,2
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,FRANSA CUMHURİYETİ,0,1,1
