,ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BİRİNCİ Ö.,0,0,0,1616,1523,3139,95,60,155,58,47,105,1769,1630,3399,
,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,438,1056,1494,844,2286,3130,65,229,294,35,134,169,1382,3705,5087,
,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,DEVLET,ADANA,BİRİNCİ Ö.,0,0,0,2093,1421,3514,238,209,447,79,60,139,2410,1690,4100,
,ADIYAMAN ÜNİVERSİTESİ,DEVLET,ADIYAMAN,BİRİNCİ Ö.,4075,2281,6356,4304,5149,9453,271,234,505,34,24,58,8684,7688,16372,
,AFYON KOCATEPE ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BİRİNCİ Ö.,4689,3016,7705,6976,7361,14337,1334,1232,2566,275,187,462,13274,11796,25070,
,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,DEVLET,AFYONKARAHİSAR,BİRİNCİ Ö.,616,1695,2311,1232,2420,3652,16,53,69,6,5,11,1870,4173,6043,
,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,DEVLET,AĞRI,BİRİNCİ Ö.,2156,1779,3935,3139,4062,7201,632,423,1055,45,18,63,5972,6282,12254,
,AKDENİZ ÜNİVERSİTESİ,DEVLET,ANTALYA,BİRİNCİ Ö.,9423,5846,15269,17192,15309,32501,1857,2184,4041,741,861,1602,29213,24200,53413,
,AKSARAY ÜNİVERSİTESİ,DEVLET,AKSARAY,BİRİNCİ Ö.,2567,2009,4576,4876,6023,10899,1255,983,2238,98,85,183,8796,9100,17896,
,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,DEVLET,ANTALYA,BİRİNCİ Ö.,2533,1765,4298,4802,4113,8915,218,285,503,32,41,73,7585,6204,13789,
,ALANYA ÜNİVERSİTESİ,VAKIF,ANTALYA,BİRİNCİ Ö.,38,44,82,237,191,428,15,14,29,0,0,0,290,249,539,
,ALTINBAŞ ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,592,1308,1900,4435,3541,7976,1799,1083,2882,206,131,337,7032,6063,13095,
,AMASYA ÜNİVERSİTESİ,DEVLET,AMASYA,BİRİNCİ Ö.,3877,2997,6874,2135,3509,5644,627,558,1185,23,28,51,6662,7092,13754,
,ANADOLU ÜNİVERSİTESİ,DEVLET,ESKİŞEHİR,BİRİNCİ Ö.,1095,1383,2478,8657,9756,18413,1024,1274,2298,719,824,1543,11495,13237,24732,
,ANKARA BİLİM ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,0,0,0,573,649,1222,134,37,171,0,0,0,707,686,1393,
,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,571,1101,1672,8566,10977,19543,2369,2634,5003,1127,1176,2303,12633,15888,28521,
,ANKARA MEDİPOL ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,842,1219,2061,1579,3366,4945,6,69,75,1,24,25,2428,4678,7106,
,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,13,35,48,321,218,539,101,64,165,37,21,58,472,338,810,
,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,1,0,1,1463,2131,3594,403,379,782,191,137,328,2058,2647,4705,
,ANKARA ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,2860,3363,6223,18239,22860,41099,2571,3067,5638,3079,3298,6377,26749,32588,59337,
,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,DEVLET,ANKARA,BİRİNCİ Ö.,1349,1816,3165,7451,10252,17703,1300,1478,2778,703,610,1313,10803,14156,24959,
,ANTALYA BELEK ÜNİVERSİTESİ,VAKIF,ANTALYA,BİRİNCİ Ö.,364,312,676,427,433,860,0,0,0,0,0,0,791,745,1536,
,ANTALYA BİLİM ÜNİVERSİTESİ,VAKIF,ANTALYA,BİRİNCİ Ö.,553,951,1504,2011,2262,4273,274,353,627,4,1,5,2842,3567,6409,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ARDAHAN ÜNİVERSİTESİ,DEVLET,ARDAHAN,BİRİNCİ Ö.,1157,1264,2421,1395,1429,2824,286,197,483,12,20,32,2850,2910,5760,
,ARTVİN ÇORUH ÜNİVERSİTESİ,DEVLET,ARTVİN,BİRİNCİ Ö.,2649,2862,5511,1838,2755,4593,294,268,562,21,22,43,4802,5907,10709,
,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,VAKIF MYO,İSTANBUL,BİRİNCİ Ö.,578,272,850,0,0,0,0,0,0,0,0,0,578,272,850,
,ATATÜRK ÜNİVERSİTESİ,DEVLET,ERZURUM,BİRİNCİ Ö.,7742,6445,14187,16579,20812,37391,4964,4610,9574,1589,1354,2943,30874,33221,64095,
,ATILIM ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,134,388,522,4973,3950,8923,330,379,709,109,94,203,5546,4811,10357,
,AVRASYA ÜNİVERSİTESİ,VAKIF,TRABZON,BİRİNCİ Ö.,914,1313,2227,961,1399,2360,126,87,213,20,8,28,2021,2807,4828,
,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,DEVLET,AYDIN,BİRİNCİ Ö.,7034,7100,14134,10891,11711,22602,1112,1299,2411,310,441,751,19347,20551,39898,
,BAHÇEŞEHİR ÜNİVERSİTESİ,VAKIF,İSTANBUL,BİRİNCİ Ö.,543,897,1440,11510,9861,21371,2342,3233,5575,231,301,532,14626,14292,28918,
,BALIKESİR ÜNİVERSİTESİ,DEVLET,BALIKESİR,BİRİNCİ Ö.,4466,2610,7076,6604,8080,14684,740,814,1554,166,166,332,11976,11670,23646,
,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,DEVLET,BALIKESİR,BİRİNCİ Ö.,2439,2392,4831,4554,4121,8675,738,519,1257,86,64,150,7817,7096,14913,
,BARTIN ÜNİVERSİTESİ,DEVLET,BARTIN,BİRİNCİ Ö.,2253,2062,4315,4592,4618,9210,663,562,1225,45,55,100,7553,7297,14850,
,BAŞKENT ÜNİVERSİTESİ,VAKIF,ANKARA,BİRİNCİ Ö.,1336,1523,2859,5437,7439,12876,539,857,1396,248,372,620,7560,10191,17751,
,BATMAN ÜNİVERSİTESİ,DEVLET,BATMAN,BİRİNCİ Ö.,2807,2159,4966,2828,2308,5136,1264,723,1987,68,25,93,6967,5215,12182,
,BAYBURT ÜNİVERSİTESİ,DEVLET,BAYBURT,BİRİNCİ Ö.,2221,2192,4413,2281,2864,5145,601,326,927,62,15,77,5165,5397,10562,
