ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,AFGANİSTAN İSLAM CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ALMANYA FEDERAL CUMHURİYETİ,2,2,4
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,AMERİKA BİRLEŞİK DEVLETLERİ,0,2,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,AZERBAYCAN CUMHURİYETİ,7,4,11
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BANGLADEŞ HALK CUMHURİYETİ,6,3,9
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BOTSVANA CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BURKİNA FASO,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BÜYÜK BRİTANYA VE KUZEY İRLANDA BİRLEŞİK KRALLIĞI,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,CEZAYİR DEMOKRATİK HALK CUMHURİYETİ,1,2,3
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,EKVATOR CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ENDONEZYA CUMHURİYETİ,8,3,11
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ERİTRE DEVLETİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ETİYOPYA FEDERAL DEMOKRATİK CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,FAS KRALLIĞI,4,13,17
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,FİLİSTİN DEVLETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,GAMBİYA CUMHURİYETİ,1,2,3
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,GANA CUMHURİYETİ,8,0,8
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,HİNDİSTAN CUMHURİYETİ,4,3,7
