BURSA TEKNİK ÜNİVERSİTESİ,21.07.2010,,DEVLET,BURSA,MARMARA
BURSA ULUDAĞ ÜNİVERSİTESİ,11.04.1975,,DEVLET,BURSA,MARMARA
ÇAĞ ÜNİVERSİTESİ,15.07.1997,,VAKIF,MERSİN,AKDENİZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,11.07.1992,,DEVLET,ÇANAKKALE,MARMARA
ÇANKAYA ÜNİVERSİTESİ,15.07.1997,,VAKIF,ANKARA,İÇ ANADOLU
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,29.05.2007,,DEVLET,ÇANKIRI,İÇ ANADOLU
ÇUKUROVA ÜNİVERSİTESİ,30.11.1973,,DEVLET,ADANA,AKDENİZ
DEMİROĞLU BİLİM ÜNİVERSİTESİ,28.03.2006,,VAKIF,İSTANBUL,MARMARA
DİCLE ÜNİVERSİTESİ,30.11.1973,,DEVLET,DİYARBAKIR,GÜNEYDOĞU ANADOLU
DOĞUŞ ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA
DOKUZ EYLÜL ÜNİVERSİTESİ,20.07.1982,,DEVLET,İZMİR,EGE
,,,,,
DÜZCE ÜNİVERSİTESİ,17.03.2006,,DEVLET,DÜZCE,KARADENİZ
EGE ÜNİVERSİTESİ,01.01.1955,,DEVLET,İZMİR,EGE
ERCİYES ÜNİVERSİTESİ,20.07.1982,,DEVLET,KAYSERİ,İÇ ANADOLU
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,17.03.2006,,DEVLET,ERZİNCAN,DOĞU ANADOLU
ERZURUM TEKNİK ÜNİVERSİTESİ,21.07.2010,,DEVLET,ERZURUM,DOĞU ANADOLU
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,18.08.1993,,DEVLET,ESKİŞEHİR,İÇ ANADOLU
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,18.05.2018,,DEVLET,ESKİŞEHİR,İÇ ANADOLU
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA
FENERBAHÇE ÜNİVERSİTESİ,24.11.2016,,VAKIF,İSTANBUL,MARMARA
FIRAT ÜNİVERSİTESİ,11.04.1975,,DEVLET,ELAZIĞ,DOĞU ANADOLU
GALATASARAY ÜNİVERSİTESİ,06.06.1994,,DEVLET,İSTANBUL,MARMARA
GAZİ ÜNİVERSİTESİ,20.07.1982,,DEVLET,ANKARA,İÇ ANADOLU
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,,DEVLET,GAZİANTEP,GÜNEYDOĞU ANADOLU
GAZİANTEP ÜNİVERSİTESİ,27.06.1987,,DEVLET,GAZİANTEP,GÜNEYDOĞU ANADOLU
GEBZE TEKNİK ÜNİVERSİTESİ,11.07.1992,,DEVLET,KOCAELİ,MARMARA
,,,,,
GİRESUN ÜNİVERSİTESİ,17.03.2006,,DEVLET,GİRESUN,KARADENİZ
GÜMÜŞHANE ÜNİVERSİTESİ,22.05.2008,,DEVLET,GÜMÜŞHANE,KARADENİZ
HACETTEPE ÜNİVERSİTESİ,08.07.1967,,DEVLET,ANKARA,İÇ ANADOLU
HAKKARİ ÜNİVERSİTESİ,31.05.2008,,DEVLET,HAKKARİ,DOĞU ANADOLU
HALİÇ ÜNİVERSİTESİ,18.01.1998,,VAKIF,İSTANBUL,MARMARA
HARRAN ÜNİVERSİTESİ,11.07.1992,,DEVLET,ŞANLIURFA,GÜNEYDOĞU ANADOLU
HASAN KALYONCU ÜNİVERSİTESİ,31.07.2008,,VAKIF,GAZİANTEP,GÜNEYDOĞU ANADOLU
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,11.07.1992,,DEVLET,HATAY,AKDENİZ
HİTİT ÜNİVERSİTESİ,17.03.2006,,DEVLET,ÇORUM,KARADENİZ
IĞDIR ÜNİVERSİTESİ,22.05.2008,,DEVLET,IĞDIR,DOĞU ANADOLU
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,18.05.2018,,DEVLET,ISPARTA,AKDENİZ
IŞIK ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA
İBN HALDUN ÜNİVERSİTESİ,23.04.2015,,VAKIF,İSTANBUL,MARMARA
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,22.05.1985,,VAKIF,ANKARA,İÇ ANADOLU
İNÖNÜ ÜNİVERSİTESİ,03.04.1975,,DEVLET,MALATYA,DOĞU ANADOLU
,,,,,
İSKENDERUN TEKNİK ÜNİVERSİTESİ,23.04.2015,,DEVLET,HATAY,AKDENİZ
İSTANBUL AREL ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA
İSTANBUL ATLAS ÜNİVERSİTESİ,18.05.2018,,VAKIF,İSTANBUL,MARMARA
İSTANBUL AYDIN ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA
İSTANBUL BEYKENT ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA
İSTANBUL BİLGİ ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA
İSTANBUL ESENYURT ÜNİVERSİTESİ,18.06.2013,,VAKIF,İSTANBUL,MARMARA
İSTANBUL GALATA ÜNİVERSİTESİ,12.06.2019,,VAKIF,İSTANBUL,MARMARA
İSTANBUL GEDİK ÜNİVERSİTESİ,03.03.2011,,VAKIF,İSTANBUL,MARMARA
İSTANBUL GELİŞİM ÜNİVERSİTESİ,03.03.2011,,VAKIF,İSTANBUL,MARMARA
İSTANBUL KENT ÜNİVERSİTESİ,07.09.2016,,VAKIF,İSTANBUL,MARMARA
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA
İSTANBUL MEDENİYET ÜNİVERSİTESİ,21.07.2010,,DEVLET,İSTANBUL,MARMARA
İSTANBUL MEDİPOL ÜNİVERSİTESİ,07.07.2009,,VAKIF,İSTANBUL,MARMARA
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,17.09.2009,,VAKIF,İSTANBUL,MARMARA
,,,,,
İSTANBUL OKAN ÜNİVERSİTESİ,18.12.1999,,VAKIF,İSTANBUL,MARMARA
İSTANBUL RUMELİ ÜNİVERSİTESİ,23.04.2015,,VAKIF,İSTANBUL,MARMARA
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,06.03.2010,,VAKIF MYO,İSTANBUL,MARMARA
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,,VAKIF,İSTANBUL,MARMARA
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,18.05.2012,,VAKIF MYO,İSTANBUL,MARMARA
İSTANBUL TEKNİK ÜNİVERSİTESİ,01.01.1944,,DEVLET,İSTANBUL,MARMARA
İSTANBUL TİCARET ÜNİVERSİTESİ,14.04.2001,,VAKIF,İSTANBUL,MARMARA
İSTANBUL TOPKAPI ÜNİVERSİTESİ,24.11.2016,,VAKIF,İSTANBUL,MARMARA
İSTANBUL ÜNİVERSİTESİ,18.11.1933,,DEVLET,İSTANBUL,MARMARA
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,18.05.2018,,DEVLET,İSTANBUL,MARMARA
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,28.02.2009,,VAKIF,İSTANBUL,MARMARA
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,24.04.2010,,VAKIF,İSTANBUL,MARMARA
İSTİNYE ÜNİVERSİTESİ,23.04.2015,,VAKIF,İSTANBUL,MARMARA
İZMİR BAKIRÇAY ÜNİVERSİTESİ,07.09.2016,,DEVLET,İZMİR,EGE
,,,,,
İZMİR DEMOKRASİ ÜNİVERSİTESİ,07.09.2016,,DEVLET,İZMİR,EGE
İZMİR EKONOMİ ÜNİVERSİTESİ,14.04.2001,,VAKIF,İZMİR,EGE
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,21.07.2010,,DEVLET,İZMİR,EGE
İZMİR KAVRAM MESLEK YÜKSEKOKULU,12.07.2008,,VAKIF MYO,İZMİR,EGE
İZMİR TINAZTEPE ÜNİVERSİTESİ,18.05.2018,,VAKIF,İZMİR,EGE
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,11.07.1992,,DEVLET,İZMİR,EGE
KADİR HAS ÜNİVERSİTESİ,30.05.1997,,VAKIF,İSTANBUL,MARMARA
KAFKAS ÜNİVERSİTESİ,11.07.1992,,DEVLET,KARS,DOĞU ANADOLU
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,18.05.2018,,DEVLET,KAHRAMANMARAŞ,AKDENİZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,11.07.1992,,DEVLET,KAHRAMANMARAŞ,AKDENİZ
KAPADOKYA ÜNİVERSİTESİ,16.09.2005,,VAKIF,NEVŞEHİR,İÇ ANADOLU
KARABÜK ÜNİVERSİTESİ,29.05.2007,,DEVLET,KARABÜK,KARADENİZ
KARADENİZ TEKNİK ÜNİVERSİTESİ,20.05.1955,,DEVLET,TRABZON,KARADENİZ
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,29.05.2007,,DEVLET,KARAMAN,İÇ ANADOLU
KASTAMONU ÜNİVERSİTESİ,17.03.2006,,DEVLET,KASTAMONU,KARADENİZ
,,,,,
KAYSERİ ÜNİVERSİTESİ,18.05.2018,,DEVLET,KAYSERİ,İÇ ANADOLU
KIRIKKALE ÜNİVERSİTESİ,11.07.1992,,DEVLET,KIRIKKALE,İÇ ANADOLU
KIRKLARELİ ÜNİVERSİTESİ,29.05.2007,,DEVLET,KIRKLARELİ,MARMARA
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,17.03.2006,,DEVLET,KIRŞEHİR,İÇ ANADOLU
KİLİS 7 ARALIK ÜNİVERSİTESİ,29.05.2007,,DEVLET,KİLİS,GÜNEYDOĞU ANADOLU
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,17.04.2020,,VAKIF,KOCAELİ,MARMARA
KOCAELİ ÜNİVERSİTESİ,11.07.1992,,DEVLET,KOCAELİ,MARMARA
KOÇ ÜNİVERSİTESİ,07.03.1992,,VAKIF,İSTANBUL,MARMARA
KONYA GIDA VE TARIM ÜNİVERSİTESİ,18.06.2013,,VAKIF,KONYA,İÇ ANADOLU
KONYA TEKNİK ÜNİVERSİTESİ,18.05.2018,,DEVLET,KONYA,İÇ ANADOLU
KTO KARATAY ÜNİVERSİTESİ,07.07.2009,,VAKIF,KONYA,İÇ ANADOLU
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,11.07.1992,,DEVLET,KÜTAHYA,EGE
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,18.05.2018,,DEVLET,KÜTAHYA,EGE
LOKMAN HEKİM ÜNİVERSİTESİ,20.12.2017,,VAKIF,ANKARA,İÇ ANADOLU
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,18.05.2018,,DEVLET,MALATYA,DOĞU ANADOLU
,,,,,
MALTEPE ÜNİVERSİTESİ,15.07.1997,,VAKIF,İSTANBUL,MARMARA
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,11.07.1992,,DEVLET,MANİSA,EGE
MARDİN ARTUKLU ÜNİVERSİTESİ,29.05.2007,,DEVLET,MARDİN,GÜNEYDOĞU ANADOLU
MARMARA ÜNİVERSİTESİ,20.07.1982,,DEVLET,İSTANBUL,MARMARA
MEF ÜNİVERSİTESİ,27.04.2012,,VAKIF,İSTANBUL,MARMARA
MERSİN ÜNİVERSİTESİ,11.07.1992,,DEVLET,MERSİN,AKDENİZ
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,20.07.1982,,DEVLET,İSTANBUL,MARMARA
MUDANYA ÜNİVERSİTESİ,11.03.2022,,VAKIF,BURSA,MARMARA
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,11.07.1992,,DEVLET,MUĞLA,EGE
MUNZUR ÜNİVERSİTESİ,22.05.2008,,DEVLET,TUNCELİ,DOĞU ANADOLU
MUŞ ALPARSLAN ÜNİVERSİTESİ,29.05.2007,,DEVLET,MUŞ,DOĞU ANADOLU
NECMETTİN ERBAKAN ÜNİVERSİTESİ,11.04.2012,,DEVLET,KONYA,İÇ ANADOLU
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,29.05.2007,,DEVLET,NEVŞEHİR,İÇ ANADOLU
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,11.07.1992,,DEVLET,NİĞDE,İÇ ANADOLU
NUH NACİ YAZGAN ÜNİVERSİTESİ,07.07.2009,,VAKIF,KAYSERİ,İÇ ANADOLU
,,,,,
ONDOKUZ MAYIS ÜNİVERSİTESİ,11.04.1975,,DEVLET,SAMSUN,KARADENİZ
ORDU ÜNİVERSİTESİ,17.03.2006,,DEVLET,ORDU,KARADENİZ
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,15.11.1956,,DEVLET,ANKARA,İÇ ANADOLU
OSMANİYE KORKUT ATA ÜNİVERSİTESİ,29.05.2007,,DEVLET,OSMANİYE,AKDENİZ
OSTİM TEKNİK ÜNİVERSİTESİ,01.07.2017,,VAKIF,ANKARA,İÇ ANADOLU
ÖZYEĞİN ÜNİVERSİTESİ,18.05.2007,,VAKIF,İSTANBUL,MARMARA
PAMUKKALE ÜNİVERSİTESİ,11.07.1992,,DEVLET,DENİZLİ,EGE
PİRİ REİS ÜNİVERSİTESİ,30.01.2008,,VAKIF,İSTANBUL,MARMARA
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,17.03.2006,,DEVLET,RİZE,KARADENİZ
SABANCI ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,15.04.2015,,DEVLET,İSTANBUL,MARMARA
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,18.05.2018,,DEVLET,SAKARYA,MARMARA
SAKARYA ÜNİVERSİTESİ,11.07.1992,,DEVLET,SAKARYA,MARMARA
SAMSUN ÜNİVERSİTESİ,18.05.2018,,DEVLET,SAMSUN,KARADENİZ
SANKO ÜNİVERSİTESİ,18.06.2013,,VAKIF,GAZİANTEP,GÜNEYDOĞU ANADOLU
,,,,,
SELÇUK ÜNİVERSİTESİ,11.04.1975,,DEVLET,KONYA,İÇ ANADOLU
SİİRT ÜNİVERSİTESİ,29.05.2007,,DEVLET,SİİRT,GÜNEYDOĞU ANADOLU
SİNOP ÜNİVERSİTESİ,29.05.2007,,DEVLET,SİNOP,KARADENİZ
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,18.05.2018,,DEVLET,SİVAS,İÇ ANADOLU
SİVAS CUMHURİYET ÜNİVERSİTESİ,09.02.1974,,DEVLET,SİVAS,İÇ ANADOLU
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,11.07.1992,,DEVLET,ISPARTA,AKDENİZ
ŞIRNAK ÜNİVERSİTESİ,22.05.2008,,DEVLET,ŞIRNAK,GÜNEYDOĞU ANADOLU
TARSUS ÜNİVERSİTESİ,18.05.2018,,DEVLET,MERSİN,AKDENİZ
TED ÜNİVERSİTESİ,07.07.2009,,VAKIF,ANKARA,İÇ ANADOLU
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,17.03.2006,,DEVLET,TEKİRDAĞ,MARMARA
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,01.07.2003,,VAKIF,ANKARA,İÇ ANADOLU
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,11.07.1992,,DEVLET,TOKAT,KARADENİZ
TOROS ÜNİVERSİTESİ,07.07.2009,,VAKIF,MERSİN,AKDENİZ
TRABZON ÜNİVERSİTESİ,18.05.2018,,DEVLET,TRABZON,KARADENİZ
TRAKYA ÜNİVERSİTESİ,20.07.1982,,DEVLET,EDİRNE,MARMARA
,,,,,
TÜRK HAVA KURUMU ÜNİVERSİTESİ,03.03.2011,,VAKIF,ANKARA,İÇ ANADOLU
TÜRK-ALMAN ÜNİVERSİTESİ,07.11.2010,,DEVLET,İSTANBUL,MARMARA
"TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ",23.04.2015,,DEVLET,İSTANBUL,MARMARA
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,24.06.2017,,DEVLET,İSTANBUL,MARMARA
UFUK ÜNİVERSİTESİ,18.12.1999,,VAKIF,ANKARA,İÇ ANADOLU
UŞAK ÜNİVERSİTESİ,17.03.2006,,DEVLET,UŞAK,EGE
ÜSKÜDAR ÜNİVERSİTESİ,03.03.2011,,VAKIF,İSTANBUL,MARMARA
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,20.07.1982,,DEVLET,VAN,DOĞU ANADOLU
YALOVA ÜNİVERSİTESİ,22.05.2008,,DEVLET,YALOVA,MARMARA
YAŞAR ÜNİVERSİTESİ,14.04.2001,,VAKIF,İZMİR,EGE
YEDİTEPE ÜNİVERSİTESİ,07.06.1996,,VAKIF,İSTANBUL,MARMARA
YILDIZ TEKNİK ÜNİVERSİTESİ,20.07.1982,,DEVLET,İSTANBUL,MARMARA
YOZGAT BOZOK ÜNİVERSİTESİ,17.03.2006,,DEVLET,YOZGAT,İÇ ANADOLU
YÜKSEK İHTİSAS ÜNİVERSİTESİ,02.08.2013,,VAKIF,ANKARA,İÇ ANADOLU
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,11.07.1992,,DEVLET,ZONGULDAK,KARADENİZ
