ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,AFGANİSTAN İSLAM CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ALMANYA FEDERAL CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,AMERİKA BİRLEŞİK DEVLETLERİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ARNAVUTLUK CUMHURİYETİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,AZERBAYCAN CUMHURİYETİ,9,5,14
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BANGLADEŞ HALK CUMHURİYETİ,8,5,13
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BOTSVANA CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BURKİNA FASO,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,BÜYÜK BRİTANYA VE KUZEY İRLANDA BİRLEŞİK KRALLIĞI,1,1,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,CEZAYİR DEMOKRATİK HALK CUMHURİYETİ,2,2,4
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,CİBUTİ CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,EKVATOR CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ENDONEZYA CUMHURİYETİ,10,3,13
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ERİTRE DEVLETİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,ETİYOPYA FEDERAL DEMOKRATİK CUMHURİYETİ,3,0,3
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,FAS KRALLIĞI,6,15,21
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,FİLİSTİN DEVLETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,GAMBİYA CUMHURİYETİ,1,2,3
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,GANA CUMHURİYETİ,3,0,3
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,GRENADA,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,HİNDİSTAN CUMHURİYETİ,3,2,5
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,HOLLANDA KRALLIĞI,2,1,3
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,IRAK CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,DEVLET,KAYSERİ,İRAN İSLAM CUMHURİYETİ,2,0,2
