ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,AFGANİSTAN İSLAM CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ALMANYA FEDERAL CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ARNAVUTLUK CUMHURİYETİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,AZERBAYCAN CUMHURİYETİ,8,2,10
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,BANGLADEŞ HALK CUMHURİYETİ,4,3,7
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,BURKİNA FASO,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,BÜYÜK BRİTANYA VE KUZEY İRLANDA BİRLEŞİK KRALLIĞI,1,1,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,CEZAYİR DEMOKRATİK HALK CUMHURİYETİ,2,2,4
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,CİBUTİ CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,EKVATOR CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ENDONEZYA CUMHURİYETİ,8,2,10
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ERİTRE DEVLETİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ETİYOPYA FEDERAL DEMOKRATİK CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,FAS KRALLIĞI,9,15,24
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,FİLİSTİN DEVLETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,GAMBİYA CUMHURİYETİ,1,1,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,GANA CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,GRENADA,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,GÜRCİSTAN CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,HİNDİSTAN CUMHURİYETİ,2,1,3
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,HOLLANDA KRALLIĞI,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,IRAK CUMHURİYETİ,3,1,4
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,İRAN İSLAM CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,KAMERUN CUMHURİYETİ,2,1,3
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,KAZAKİSTAN CUMHURİYETİ,1,1,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,KENYA CUMHURİYETİ,5,3,8
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,KIRGIZ CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,LÜBNAN CUMHURİYETİ,2,1,3
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,MALAVİ CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,MALDİVLER CUMHURİYETİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,MALİ CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,MISIR ARAP CUMHURİYETİ,22,7,29
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,MOZAMBİK CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,MYANMAR BİRLİĞİ CUMHURİYETİ,0,2,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,NAMİBYA CUMHURİYETİ,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,NİJERYA FEDERAL CUMHURİYETİ,4,1,5
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,PAKİSTAN İSLAM CUMHURİYETİ,10,5,15
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,RUANDA CUMHURİYETİ,2,0,2
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,RUSYA FEDERASYONU,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,SENEGAL CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,SOMALİ FEDERAL CUMHURİYETİ,6,0,6
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,SRİ LANKA DEMOKRATİK SOSYALİST CUMHURİYETİ,3,0,3
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,SURİYE ARAP CUMHURİYETİ,19,4,23
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,TACİKİSTAN CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,TANZANYA BİRLEŞİK CUMHURİYETİ,4,0,4
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,TUNUS CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,UKRAYNA,0,1,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ÜRDÜN HAŞİMİ KRALLIĞI,7,1,8
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,VATANSIZ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,YEMEN CUMHURİYETİ,3,1,4
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ZAMBİYA CUMHURİYETİ,1,0,1
ABDULLAH GÜL ÜNİVERSİTESİ,,KAYSERİ,ZİMBABVE CUMHURİYETİ,1,0,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,,İSTANBUL,AFGANİSTAN İSLAM CUMHURİYETİ,0,1,1
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,,İSTANBUL,ALMANYA FEDERAL CUMHURİYETİ,2,6,8
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,,İSTANBUL,AMERİKA BİRLEŞİK DEVLETLERİ,5,5,10
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,,İSTANBUL,AVUSTURYA CUMHURİYETİ,0,3,3
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,,İSTANBUL,AZERBAYCAN CUMHURİYETİ,5,10,15
